Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:38:10,,
Header Version:,1,,
System Temp (C):,30.74,,
Detector Temp (C):,27.67,,
Humidity (%):,43.21,,
Lamp PD:,3759,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.498,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.466539,41838.000000,1429.000000
904.997985,1.413360,48103.000000,1857.000000
908.903577,1.424171,54016.000000,2034.000000
912.804913,1.434391,60169.000000,2213.000000
918.000073,1.402668,70564.000000,2792.000000
921.891478,1.373063,79654.000000,3374.000000
925.778627,1.429046,89700.000000,3340.000000
929.661520,1.440174,100239.000000,3638.000000
933.540156,1.485924,109446.000000,3575.000000
937.414537,1.491480,117708.000000,3796.000000
941.284661,1.495002,124606.000000,3986.000000
945.150529,1.505077,131146.000000,4099.000000
949.012141,1.494485,136760.000000,4380.000000
952.869497,1.513847,141885.000000,4346.000000
958.006018,1.559981,147984.000000,4076.000000
961.853443,1.528580,153029.000000,4531.000000
965.696612,1.511278,157730.000000,4860.000000
969.535525,1.535414,162181.000000,4727.000000
973.370181,1.517968,166803.000000,5061.000000
977.200582,1.527591,171686.000000,5095.000000
981.026726,1.516978,175039.000000,5323.000000
984.848614,1.496182,179017.000000,5711.000000
988.666246,1.518227,182897.000000,5546.000000
992.479622,1.528193,185253.000000,5490.000000
996.288742,1.515280,187818.000000,5734.000000
1001.360948,1.496682,190772.000000,6079.000000
1005.160137,1.507779,192876.000000,5991.000000
1008.955070,1.505480,193747.000000,6050.000000
1012.745747,1.517530,195280.000000,5931.000000
1016.532167,1.503159,196346.000000,6164.000000
1020.314331,1.498944,197194.000000,6251.000000
1024.092240,1.501341,198095.000000,6245.000000
1027.865892,1.499518,198497.000000,6284.000000
1031.635288,1.504090,199321.000000,6244.000000
1035.400428,1.479405,200160.000000,6637.000000
1040.413994,1.517484,199967.000000,6074.000000
1044.169203,1.530485,199836.000000,5891.000000
1047.920156,1.489253,200123.000000,6487.000000
1051.666852,1.503959,199995.000000,6267.000000
1055.409293,1.489457,200001.000000,6480.000000
1059.147477,1.492283,200157.000000,6443.000000
1062.881406,1.502598,200769.000000,6311.000000
1066.611078,1.466203,200632.000000,6858.000000
1070.336494,1.514642,201345.000000,6156.000000
1074.057654,1.511139,201966.000000,6225.000000
1079.012580,1.525458,203069.000000,6056.000000
1082.723809,1.521722,204488.000000,6151.000000
1086.430782,1.518645,205553.000000,6227.000000
1090.133498,1.535180,207289.000000,6045.000000
1093.831959,1.558471,209194.000000,5782.000000
1097.526163,1.566605,210937.000000,5722.000000
1101.216112,1.541587,213258.000000,6128.000000
1104.901804,1.562926,215518.000000,5896.000000
1108.583240,1.580961,217607.000000,5711.000000
1112.260420,1.573608,219948.000000,5871.000000
1115.933344,1.616616,221873.000000,5364.000000
1120.823955,1.617932,225409.000000,5433.000000
1124.486948,1.627123,228069.000000,5382.000000
1128.145685,1.647677,230370.000000,5185.000000
