Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:18:57,,
Header Version:,1,,
System Temp (C):,30.43,,
Detector Temp (C):,27.27,,
Humidity (%):,43.84,,
Lamp PD:,3758,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.522,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1363.585596,1.757249,429141.000000,7505.000000
1366.954916,1.739673,428594.000000,7805.000000
1370.319980,1.769107,427739.000000,7279.000000
1373.680788,1.774224,426684.000000,7176.000000
1377.037340,1.743077,424716.000000,7674.000000
1380.389636,1.778099,423009.000000,7051.000000
1384.852743,1.752559,421250.000000,7447.000000
1388.195107,1.763247,419513.000000,7236.000000
1391.533216,1.765271,418386.000000,7183.000000
1394.867069,1.763585,416533.000000,7179.000000
1398.196665,1.784451,415362.000000,6823.000000
1401.522005,1.793186,414359.000000,6671.000000
1404.843090,1.761783,412901.000000,7146.000000
1408.159918,1.760152,412217.000000,7161.000000
1411.472490,1.761865,411361.000000,7118.000000
1414.780805,1.773896,411033.000000,6918.000000
1419.185272,1.768313,409830.000000,6987.000000
1422.483657,1.775255,409401.000000,6869.000000
1425.777786,1.765136,409230.000000,7028.000000
1429.067659,1.792093,409352.000000,6607.000000
1432.353275,1.779142,408571.000000,6794.000000
1435.634635,1.772897,408784.000000,6896.000000
1438.911740,1.779843,408388.000000,6780.000000
1442.184588,1.781606,408718.000000,6758.000000
1445.453180,1.791172,408114.000000,6601.000000
1448.717516,1.785331,407298.000000,6677.000000
1453.063343,1.767318,406083.000000,6939.000000
1456.317748,1.769752,404893.000000,6880.000000
1459.567896,1.788324,403727.000000,6573.000000
1462.813789,1.793148,402460.000000,6480.000000
1466.055425,1.782080,401052.000000,6624.000000
1469.292806,1.777863,399335.000000,6660.000000
1472.525930,1.777568,397326.000000,6631.000000
1475.754798,1.793226,395699.000000,6370.000000
1478.979410,1.769558,393830.000000,6695.000000
1482.199766,1.791318,391553.000000,6331.000000
1485.415866,1.774387,389192.000000,6543.000000
1489.697378,1.795422,386592.000000,6192.000000
1492.903547,1.771495,383773.000000,6495.000000
1496.105460,1.763419,380646.000000,6563.000000
1499.303116,1.777498,377552.000000,6302.000000
1502.496517,1.778688,375404.000000,6249.000000
1505.685661,1.782917,371858.000000,6130.000000
1508.870549,1.787638,368993.000000,6017.000000
1512.051181,1.792524,365725.000000,5897.000000
1515.227557,1.791287,362273.000000,5858.000000
1518.399677,1.790597,358179.000000,5801.000000
1522.622549,1.814316,354157.000000,5431.000000
1525.784738,1.816147,350480.000000,5352.000000
1528.942671,1.782228,346255.000000,5717.000000
1532.096347,1.804050,342381.000000,5376.000000
1535.245768,1.783863,338077.000000,5561.000000
1538.390932,1.801494,334863.000000,5289.000000
1541.531840,1.800842,330125.000000,5222.000000
1544.668493,1.838570,325057.000000,4714.000000
1547.800888,1.801099,320643.000000,5069.000000
1550.929028,1.803389,316424.000000,4976.000000
1555.093261,1.812135,309495.000000,4770.000000
1558.211470,1.797498,305009.000000,4862.000000
1561.325422,1.791807,299676.000000,4840.000000
1564.435119,1.790802,294721.000000,4771.000000
1567.540560,1.814156,289557.000000,4442.000000
1570.641744,1.797224,284567.000000,4539.000000
1573.738672,1.834098,279754.000000,4099.000000
1576.831344,1.822569,274419.000000,4129.000000
1579.919760,1.873364,268872.000000,3599.000000
1583.003920,1.843923,263606.000000,3776.000000
1586.083824,1.826139,257921.000000,3849.000000
1590.183742,1.849106,250804.000000,3550.000000
1593.253714,1.806942,245422.000000,3828.000000
1596.319431,1.831807,239381.000000,3526.000000
1599.380892,1.833292,234206.000000,3438.000000
1602.438096,1.867566,228743.000000,3103.000000
1605.491044,1.814019,223323.000000,3427.000000
1608.539736,1.774964,217518.000000,3652.000000
1611.584172,1.797996,212282.000000,3380.000000
1614.624352,1.850943,206389.000000,2909.000000
1617.660276,1.801367,201087.000000,3177.000000
1621.701554,1.801448,193528.000000,3057.000000
1624.727547,1.828589,188622.000000,2799.000000
1627.749283,1.801176,183537.000000,2901.000000
1630.766764,1.825811,177844.000000,2656.000000
1633.779989,1.858467,171736.000000,2379.000000
1636.788957,1.782838,167154.000000,2756.000000
1639.793669,1.811030,161732.000000,2499.000000
1642.794125,1.890796,155612.000000,2001.000000
1645.790325,1.906903,149386.000000,1851.000000
1648.782269,1.819190,142246.000000,2157.000000
1651.769957,1.866234,133974.000000,1823.000000
1655.746920,1.951567,121380.000000,1357.000000
1658.724676,1.723364,110432.000000,2088.000000
1661.698177,1.712362,99058.000000,1921.000000
1664.667421,1.880838,87253.000000,1148.000000
1667.632410,1.936466,74987.000000,868.000000
1670.593142,1.816575,63846.000000,974.000000
1673.549618,1.726328,54103.000000,1016.000000
1676.501838,1.682766,45375.000000,942.000000
1679.449802,1.710726,38529.000000,750.000000
1682.393510,1.870809,32827.000000,442.000000
1686.311833,1.705974,26067.000000,513.000000
1689.245610,2.012429,22330.000000,217.000000
1692.175130,1.992827,19574.000000,199.000000
1695.100395,1.410920,16743.000000,650.000000
1698.021403,1.816403,14743.000000,225.000000
1700.938155,1.524959,12694.000000,379.000000
