Method:,Column 1,,
Host Date-Time:,23/6/21 @ 6:20:5,,
Header Version:,1,,
System Temp (C):,25.5,,
Detector Temp (C):,21.62,,
Humidity (%):,50.21,,
Lamp PD:,3766,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.491,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.084193,41838.000000,34465.000000
904.997985,0.092278,48103.000000,38895.000000
908.903577,0.092349,54016.000000,43669.000000
912.804913,0.101839,60169.000000,47592.000000
918.000073,0.107077,70564.000000,55145.000000
921.891478,0.107899,79654.000000,62131.000000
925.778627,0.116658,89700.000000,68570.000000
929.661520,0.122503,100239.000000,75602.000000
933.540156,0.124619,109446.000000,82145.000000
937.414537,0.129667,117708.000000,87325.000000
941.284661,0.133852,124606.000000,91556.000000
945.150529,0.141524,131146.000000,94674.000000
949.012141,0.148373,136760.000000,97182.000000
952.869497,0.155210,141885.000000,99249.000000
958.006018,0.160547,147984.000000,102251.000000
961.853443,0.166494,153029.000000,104299.000000
965.696612,0.171810,157730.000000,106195.000000
969.535525,0.175259,162181.000000,108328.000000
973.370181,0.177692,166803.000000,110793.000000
977.200582,0.180582,171686.000000,113280.000000
981.026726,0.179119,175039.000000,115882.000000
984.848614,0.181613,179017.000000,117837.000000
988.666246,0.184087,182897.000000,119707.000000
992.479622,0.184980,185253.000000,121000.000000
996.288742,0.185527,187818.000000,122521.000000
1001.360948,0.186054,190772.000000,124297.000000
1005.160137,0.187778,192876.000000,125170.000000
1008.955070,0.187530,193747.000000,125807.000000
1012.745747,0.189719,195280.000000,126165.000000
1016.532167,0.190654,196346.000000,126581.000000
1020.314331,0.189786,197194.000000,127382.000000
1024.092240,0.191537,198095.000000,127449.000000
1027.865892,0.192469,198497.000000,127434.000000
1031.635288,0.192835,199321.000000,127855.000000
1035.400428,0.195717,200160.000000,127544.000000
1040.413994,0.194016,199967.000000,127921.000000
1044.169203,0.196337,199836.000000,127156.000000
1047.920156,0.196909,200123.000000,127171.000000
1051.666852,0.198040,199995.000000,126759.000000
1055.409293,0.198259,200001.000000,126699.000000
1059.147477,0.201300,200157.000000,125913.000000
1062.881406,0.202002,200769.000000,126094.000000
1066.611078,0.203058,200632.000000,125702.000000
1070.336494,0.205429,201345.000000,125462.000000
1074.057654,0.205953,201966.000000,125697.000000
1079.012580,0.208886,203069.000000,125533.000000
1082.723809,0.210421,204488.000000,125964.000000
1086.430782,0.212491,205553.000000,126018.000000
1090.133498,0.215214,207289.000000,126288.000000
1093.831959,0.217927,209194.000000,126655.000000
1097.526163,0.219099,210937.000000,127366.000000
1101.216112,0.222551,213258.000000,127748.000000
1104.901804,0.225890,215518.000000,128113.000000
1108.583240,0.228628,217607.000000,128542.000000
1112.260420,0.232745,219948.000000,128699.000000
1115.933344,0.236138,221873.000000,128815.000000
1120.823955,0.242233,225409.000000,129044.000000
1124.486948,0.248029,228069.000000,128836.000000
1128.145685,0.256708,230370.000000,127561.000000
1131.800165,0.265954,232879.000000,126234.000000
1135.450390,0.277785,235735.000000,124348.000000
1139.096358,0.290667,238069.000000,121909.000000
1142.738071,0.303673,241252.000000,119894.000000
1146.375527,0.314714,243862.000000,118149.000000
1150.008727,0.324257,245824.000000,116511.000000
1153.637671,0.333960,249063.000000,115438.000000
1158.469642,0.343475,252780.000000,114622.000000
1162.088655,0.351323,256260.000000,114119.000000
1165.703412,0.354640,259055.000000,114486.000000
1169.313912,0.357888,261978.000000,114915.000000
1172.920157,0.362078,264985.000000,115118.000000
1176.522145,0.367422,269426.000000,115616.000000
1180.119878,0.368929,272409.000000,116491.000000
1183.713354,0.372845,276023.000000,116977.000000
1187.302574,0.377376,280835.000000,117781.000000
1190.887538,0.380234,284660.000000,118602.000000
1194.468246,0.382804,289355.000000,119847.000000
1199.235902,0.383922,294470.000000,121652.000000
1202.806679,0.386337,298982.000000,122831.000000
1206.373200,0.385958,303505.000000,124798.000000
1209.935464,0.385444,307931.000000,126768.000000
1213.493473,0.382847,312016.000000,129220.000000
1217.047225,0.381713,316965.000000,131613.000000
1220.596721,0.376549,321210.000000,134971.000000
1224.141962,0.374501,325858.000000,137571.000000
1227.682946,0.371074,330391.000000,140590.000000
1231.219673,0.369337,334507.000000,142912.000000
1235.928690,0.365727,339691.000000,146338.000000
1239.455487,0.364432,343760.000000,148533.000000
1242.978028,0.363572,347020.000000,150239.000000
1246.496312,0.361665,350545.000000,152433.000000
1250.010341,0.361802,353991.000000,153883.000000
1253.520113,0.360170,356683.000000,155637.000000
1257.025629,0.361827,358341.000000,155765.000000
1260.526889,0.361419,360820.000000,156990.000000
1264.023894,0.362462,364183.000000,158073.000000
1267.516641,0.363154,367840.000000,159406.000000
1272.167018,0.365581,373653.000000,161023.000000
1275.649835,0.368351,377992.000000,161857.000000
1279.128396,0.369032,382454.000000,163511.000000
1282.602700,0.372744,386758.000000,163944.000000
1286.072749,0.376461,391232.000000,164427.000000
1289.538541,0.379580,395482.000000,165024.000000
1293.000078,0.382663,399181.000000,165389.000000
1296.457358,0.390171,402851.000000,164049.000000
1299.910382,0.393541,405972.000000,164042.000000
1303.359150,0.400276,409012.000000,162727.000000
1306.803662,0.406642,412072.000000,161559.000000
1311.389723,0.417377,415273.000000,158839.000000
1314.824304,0.425541,418670.000000,157156.000000
1318.254629,0.433586,421073.000000,155157.000000
1321.680698,0.444112,422767.000000,152051.000000
1325.102510,0.453934,424477.000000,149252.000000
1328.520066,0.463107,425846.000000,146604.000000
1331.933367,0.473845,427220.000000,143485.000000
1335.342411,0.485565,428460.000000,140070.000000
1338.747199,0.496035,429602.000000,137098.000000
1342.147731,0.506904,430095.000000,133863.000000
1346.675152,0.520946,430925.000000,129854.000000
1350.065753,0.529766,430662.000000,127166.000000
1353.452098,0.541020,430235.000000,123790.000000
1356.834187,0.552384,429864.000000,120489.000000
1360.212019,0.566284,430326.000000,116819.000000
1363.585596,0.580379,429141.000000,112777.000000
1366.954916,0.598144,428594.000000,108119.000000
1370.319980,0.618405,427739.000000,102985.000000
1373.680788,0.643285,426684.000000,97011.000000
1377.037340,0.673943,424716.000000,89982.000000
1380.389636,0.710238,423009.000000,82435.000000
1384.852743,0.765366,421250.000000,72306.000000
1388.195107,0.806882,419513.000000,65443.000000
1391.533216,0.852503,418386.000000,58759.000000
1394.867069,0.899399,416533.000000,52511.000000
1398.196665,0.938645,415362.000000,47839.000000
1401.522005,0.973520,414359.000000,44041.000000
1404.843090,1.007085,412901.000000,40622.000000
1408.159918,1.033176,412217.000000,38190.000000
1411.472490,1.055287,411361.000000,36219.000000
1414.780805,1.073347,411033.000000,34716.000000
1419.185272,1.091858,409830.000000,33170.000000
1422.483657,1.100159,409401.000000,32508.000000
1425.777786,1.106004,409230.000000,32060.000000
1429.067659,1.110832,409352.000000,31715.000000
1432.353275,1.125163,408571.000000,30627.000000
1435.634635,1.121845,408784.000000,30878.000000
1438.911740,1.128843,408388.000000,30355.000000
1442.184588,1.131503,408718.000000,30194.000000
1445.453180,1.134588,408114.000000,29936.000000
1448.717516,1.129647,407298.000000,30218.000000
1453.063343,1.133365,406083.000000,29871.000000
1456.317748,1.132294,404893.000000,29857.000000
1459.567896,1.131071,403727.000000,29855.000000
1462.813789,1.128558,402460.000000,29934.000000
1466.055425,1.119856,401052.000000,30433.000000
1469.292806,1.115275,399335.000000,30624.000000
1472.525930,1.115075,397326.000000,30484.000000
1475.754798,1.103572,395699.000000,31174.000000
1478.979410,1.099515,393830.000000,31318.000000
1482.199766,1.087803,391553.000000,31988.000000
1485.415866,1.076773,389192.000000,32613.000000
1489.697378,1.076976,386592.000000,32380.000000
1492.903547,1.063159,383773.000000,33183.000000
1496.105460,1.048621,380646.000000,34033.000000
1499.303116,1.046483,377552.000000,33923.000000
1502.496517,1.036390,375404.000000,34523.000000
1505.685661,1.028237,371858.000000,34845.000000
1508.870549,1.015422,368993.000000,35612.000000
1512.051181,1.004326,365725.000000,36210.000000
1515.227557,0.996850,362273.000000,36491.000000
1518.399677,0.993023,358179.000000,36398.000000
1522.622549,0.973246,354157.000000,37666.000000
1525.784738,0.962930,350480.000000,38171.000000
1528.942671,0.953158,346255.000000,38569.000000
1532.096347,0.944761,342381.000000,38882.000000
1535.245768,0.928674,338077.000000,39842.000000
1538.390932,0.923372,334863.000000,39948.000000
1541.531840,0.918032,330125.000000,39870.000000
1544.668493,0.909834,325057.000000,40006.000000
1547.800888,0.897260,320643.000000,40622.000000
1550.929028,0.889503,316424.000000,40810.000000
1555.093261,0.877319,309495.000000,41052.000000
1558.211470,0.869595,305009.000000,41183.000000
1561.325422,0.860954,299676.000000,41276.000000
1564.435119,0.854271,294721.000000,41223.000000
1567.540560,0.848368,289557.000000,41055.000000
1570.641744,0.841888,284567.000000,40954.000000
1573.738672,0.832174,279754.000000,41172.000000
1576.831344,0.828916,274419.000000,40691.000000
1579.919760,0.815767,268872.000000,41094.000000
1583.003920,0.813575,263606.000000,40493.000000
1586.083824,0.805019,257921.000000,40408.000000
1590.183742,0.804125,250804.000000,39374.000000
1593.253714,0.796749,245422.000000,39189.000000
1596.319431,0.790079,239381.000000,38816.000000
1599.380892,0.787967,234206.000000,38162.000000
1602.438096,0.777774,228743.000000,38157.000000
1605.491044,0.778344,223323.000000,37204.000000
1608.539736,0.771824,217518.000000,36785.000000
1611.584172,0.769803,212282.000000,36067.000000
1614.624352,0.760016,206389.000000,35865.000000
1617.660276,0.763806,201087.000000,34640.000000
1621.701554,0.757660,193528.000000,33813.000000
1624.727547,0.755410,188622.000000,33127.000000
1627.749283,0.752362,183537.000000,32461.000000
1630.766764,0.750407,177844.000000,31596.000000
1633.779989,0.747582,171736.000000,30710.000000
1636.788957,0.747475,167154.000000,29898.000000
1639.793669,0.745142,161732.000000,29084.000000
1642.794125,0.744234,155612.000000,28042.000000
1645.790325,0.733968,149386.000000,27564.000000
1648.782269,0.733795,142246.000000,26257.000000
1651.769957,0.734851,133974.000000,24670.000000
1655.746920,0.735706,121380.000000,22307.000000
1658.724676,0.723718,110432.000000,20863.000000
1661.698177,0.724652,99058.000000,18674.000000
1664.667421,0.732232,87253.000000,16164.000000
1667.632410,0.722851,74987.000000,14195.000000
1670.593142,0.712343,63846.000000,12382.000000
