Method:,Column 1,,
Host Date-Time:,23/6/21 @ 14:27:50,,
Header Version:,1,,
System Temp (C):,29.07,,
Detector Temp (C):,26.55,,
Humidity (%):,43.15,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.467,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.138712,41838.000000,30399.000000
904.997985,0.144252,48103.000000,34508.000000
908.903577,0.152705,54016.000000,38003.000000
912.804913,0.154215,60169.000000,42185.000000
918.000073,0.164618,70564.000000,48302.000000
921.891478,0.173674,79654.000000,53399.000000
925.778627,0.177182,89700.000000,59650.000000
929.661520,0.186363,100239.000000,65264.000000
933.540156,0.191547,109446.000000,70413.000000
937.414537,0.200595,117708.000000,74167.000000
941.284661,0.207393,124606.000000,77294.000000
945.150529,0.215295,131146.000000,79884.000000
949.012141,0.229425,136760.000000,80637.000000
952.869497,0.239119,141885.000000,81812.000000
958.006018,0.249455,147984.000000,83322.000000
961.853443,0.256721,153029.000000,84733.000000
965.696612,0.261843,157730.000000,86312.000000
969.535525,0.264566,162181.000000,88193.000000
973.370181,0.266564,166803.000000,90290.000000
977.200582,0.270588,171686.000000,92076.000000
981.026726,0.269402,175039.000000,94131.000000
984.848614,0.272582,179017.000000,95568.000000
988.666246,0.272917,182897.000000,97564.000000
992.479622,0.271661,185253.000000,99107.000000
996.288742,0.272276,187818.000000,100337.000000
1001.360948,0.271081,190772.000000,102196.000000
1005.160137,0.269986,192876.000000,103584.000000
1008.955070,0.269588,193747.000000,104147.000000
1012.745747,0.269833,195280.000000,104912.000000
1016.532167,0.269679,196346.000000,105522.000000
1020.314331,0.268119,197194.000000,106359.000000
1024.092240,0.266691,198095.000000,107197.000000
1027.865892,0.266333,198497.000000,107503.000000
1031.635288,0.267285,199321.000000,107713.000000
