Method:,Column 1,,
Host Date-Time:,23/6/21 @ 16:3:34,,
Header Version:,1,,
System Temp (C):,29.58,,
Detector Temp (C):,26.87,,
Humidity (%):,42.27,,
Lamp PD:,3762,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.462,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.144986,41838.000000,29963.000000
904.997985,0.148273,48103.000000,34190.000000
908.903577,0.166108,54016.000000,36848.000000
912.804913,0.162435,60169.000000,41394.000000
918.000073,0.170147,70564.000000,47691.000000
921.891478,0.176948,79654.000000,52998.000000
925.778627,0.185540,89700.000000,58513.000000
929.661520,0.193928,100239.000000,64137.000000
933.540156,0.200156,109446.000000,69031.000000
937.414537,0.205892,117708.000000,73268.000000
941.284661,0.215835,124606.000000,75806.000000
945.150529,0.223666,131146.000000,78359.000000
949.012141,0.234583,136760.000000,79685.000000
952.869497,0.243795,141885.000000,80936.000000
958.006018,0.252510,147984.000000,82738.000000
961.853443,0.261613,153029.000000,83784.000000
965.696612,0.267031,157730.000000,85287.000000
969.535525,0.269399,162181.000000,87217.000000
973.370181,0.273121,166803.000000,88937.000000
977.200582,0.286694,171686.000000,88724.000000
981.026726,0.277425,175039.000000,92408.000000
984.848614,0.278166,179017.000000,94347.000000
988.666246,0.277225,182897.000000,96601.000000
992.479622,0.278876,185253.000000,97474.000000
996.288742,0.278800,187818.000000,98841.000000
1001.360948,0.277917,190772.000000,100600.000000
1005.160137,0.276261,192876.000000,102098.000000
1008.955070,0.276177,193747.000000,102579.000000
1012.745747,0.275101,195280.000000,103647.000000
1016.532167,0.277047,196346.000000,103747.000000
1020.314331,0.273477,197194.000000,105055.000000
1024.092240,0.273930,198095.000000,105425.000000
1027.865892,0.273260,198497.000000,105802.000000
1031.635288,0.272363,199321.000000,106461.000000
1035.400428,0.272448,200160.000000,106888.000000
1040.413994,0.272831,199967.000000,106691.000000
1044.169203,0.270098,199836.000000,107294.000000
1047.920156,0.272648,200123.000000,106819.000000
1051.666852,0.271574,199995.000000,107015.000000
1055.409293,0.273605,200001.000000,106519.000000
1059.147477,0.273137,200157.000000,106717.000000
1062.881406,0.275877,200769.000000,106370.000000
1066.611078,0.278843,200632.000000,105574.000000
1070.336494,0.277641,201345.000000,106243.000000
1074.057654,0.280198,201966.000000,105945.000000
1079.012580,0.282215,203069.000000,106030.000000
1082.723809,0.283853,204488.000000,106369.000000
1086.430782,0.287610,205553.000000,106002.000000
1090.133498,0.290816,207289.000000,106111.000000
