Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:33:31,,
Header Version:,1,,
System Temp (C):,30.91,,
Detector Temp (C):,27.72,,
Humidity (%):,42.84,,
Lamp PD:,3759,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.491,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.352525,41838.000000,1858.000000
904.997985,1.384849,48103.000000,1983.000000
908.903577,1.435638,54016.000000,1981.000000
912.804913,1.420487,60169.000000,2285.000000
918.000073,1.486289,70564.000000,2303.000000
921.891478,1.450343,79654.000000,2824.000000
925.778627,1.456555,89700.000000,3135.000000
929.661520,1.496838,100239.000000,3193.000000
933.540156,1.551920,109446.000000,3071.000000
937.414537,1.473659,117708.000000,3955.000000
941.284661,1.483391,124606.000000,4094.000000
945.150529,1.516782,131146.000000,3990.000000
949.012141,1.488576,136760.000000,4440.000000
952.869497,1.507104,141885.000000,4414.000000
958.006018,1.516809,147984.000000,4502.000000
961.853443,1.520884,153029.000000,4612.000000
965.696612,1.541146,157730.000000,4537.000000
969.535525,1.511725,162181.000000,4992.000000
973.370181,1.514123,166803.000000,5106.000000
977.200582,1.529470,171686.000000,5073.000000
981.026726,1.543037,175039.000000,5013.000000
984.848614,1.513401,179017.000000,5489.000000
988.666246,1.544370,182897.000000,5222.000000
992.479622,1.519577,185253.000000,5600.000000
996.288742,1.544329,187818.000000,5363.000000
1001.360948,1.509589,190772.000000,5901.000000
1005.160137,1.520579,192876.000000,5817.000000
1008.955070,1.530067,193747.000000,5717.000000
1012.745747,1.496170,195280.000000,6230.000000
1016.532167,1.511410,196346.000000,6048.000000
1020.314331,1.526774,197194.000000,5863.000000
1024.092240,1.509413,198095.000000,6130.000000
1027.865892,1.513850,198497.000000,6080.000000
1031.635288,1.489119,199321.000000,6463.000000
1035.400428,1.526350,200160.000000,5957.000000
1040.413994,1.508217,199967.000000,6205.000000
1044.169203,1.507932,199836.000000,6205.000000
1047.920156,1.530445,200123.000000,5900.000000
1051.666852,1.510523,199995.000000,6173.000000
1055.409293,1.514352,200001.000000,6119.000000
1059.147477,1.555750,200157.000000,5567.000000
1062.881406,1.485264,200769.000000,6568.000000
1066.611078,1.502715,200632.000000,6305.000000
1070.336494,1.509941,201345.000000,6223.000000
1074.057654,1.505111,201966.000000,6312.000000
1079.012580,1.505623,203069.000000,6339.000000
1082.723809,1.513816,204488.000000,6264.000000
1086.430782,1.526883,205553.000000,6110.000000
1090.133498,1.567072,207289.000000,5617.000000
1093.831959,1.530828,209194.000000,6162.000000
1097.526163,1.573028,210937.000000,5638.000000
1101.216112,1.569464,213258.000000,5747.000000
1104.901804,1.572383,215518.000000,5769.000000
1108.583240,1.586702,217607.000000,5636.000000
1112.260420,1.587972,219948.000000,5680.000000
1115.933344,1.578059,221873.000000,5862.000000
1120.823955,1.615540,225409.000000,5463.000000
1124.486948,1.611666,228069.000000,5577.000000
1128.145685,1.670108,230370.000000,4924.000000
1131.800165,1.626058,232879.000000,5509.000000
1135.450390,1.669477,235735.000000,5046.000000
1139.096358,1.685887,238069.000000,4907.000000
1142.738071,1.712132,241252.000000,4681.000000
1146.375527,1.696505,243862.000000,4905.000000
1150.008727,1.686131,245824.000000,5064.000000
1153.637671,1.687888,249063.000000,5110.000000
1158.469642,1.697563,252780.000000,5072.000000
1162.088655,1.683341,256260.000000,5313.000000
1165.703412,1.693233,259055.000000,5250.000000
1169.313912,1.701260,261978.000000,5212.000000
1172.920157,1.684045,264985.000000,5485.000000
1176.522145,1.690709,269426.000000,5492.000000
1180.119878,1.716305,272409.000000,5235.000000
1183.713354,1.734740,276023.000000,5084.000000
1187.302574,1.711975,280835.000000,5451.000000
1190.887538,1.708549,284660.000000,5569.000000
1194.468246,1.718942,289355.000000,5527.000000
1199.235902,1.742558,294470.000000,5327.000000
1202.806679,1.736073,298982.000000,5490.000000
1206.373200,1.754950,303505.000000,5336.000000
1209.935464,1.733189,307931.000000,5692.000000
1213.493473,1.713068,312016.000000,6041.000000
1217.047225,1.724746,316965.000000,5974.000000
1220.596721,1.680002,321210.000000,6711.000000
1224.141962,1.728625,325858.000000,6087.000000
1227.682946,1.697711,330391.000000,6627.000000
1231.219673,1.676401,334507.000000,7047.000000
1235.928690,1.703198,339691.000000,6728.000000
1239.455487,1.718095,343760.000000,6579.000000
1242.978028,1.700814,347020.000000,6911.000000
1246.496312,1.721792,350545.000000,6652.000000
1250.010341,1.704950,353991.000000,6983.000000
1253.520113,1.711737,356683.000000,6927.000000
1257.025629,1.714567,358341.000000,6914.000000
1260.526889,1.708117,360820.000000,7066.000000
1264.023894,1.720273,364183.000000,6935.000000
1267.516641,1.723924,367840.000000,6946.000000
1272.167018,1.723971,373653.000000,7055.000000
1275.649835,1.721540,377992.000000,7177.000000
1279.128396,1.717890,382454.000000,7323.000000
1282.602700,1.708630,386758.000000,7565.000000
1286.072749,1.707526,391232.000000,7672.000000
1289.538541,1.737388,395482.000000,7240.000000
1293.000078,1.739994,399181.000000,7264.000000
1296.457358,1.742179,402851.000000,7294.000000
1299.910382,1.726085,405972.000000,7628.000000
1303.359150,1.724456,409012.000000,7714.000000
