Method:,Column 1,,
Host Date-Time:,23/6/21 @ 10:19:42,,
Header Version:,1,,
System Temp (C):,28.66,,
Detector Temp (C):,26.04,,
Humidity (%):,44.84,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.510,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.062838,41838.000000,36202.000000
904.997985,0.068700,48103.000000,41065.000000
908.903577,0.077346,54016.000000,45204.000000
912.804913,0.080411,60169.000000,49999.000000
918.000073,0.089346,70564.000000,57443.000000
921.891478,0.096693,79654.000000,63755.000000
925.778627,0.100026,89700.000000,71247.000000
929.661520,0.108859,100239.000000,78015.000000
933.540156,0.112960,109446.000000,84380.000000
937.414537,0.115585,117708.000000,90203.000000
941.284661,0.120806,124606.000000,94348.000000
945.150529,0.127052,131146.000000,97882.000000
949.012141,0.132611,136760.000000,100774.000000
952.869497,0.139458,141885.000000,102915.000000
958.006018,0.147518,147984.000000,105365.000000
961.853443,0.152614,153029.000000,107686.000000
965.696612,0.157367,157730.000000,109786.000000
969.535525,0.159419,162181.000000,112352.000000
973.370181,0.162130,166803.000000,114835.000000
977.200582,0.166104,171686.000000,117120.000000
981.026726,0.165505,175039.000000,119572.000000
984.848614,0.167311,179017.000000,121782.000000
988.666246,0.168890,182897.000000,123970.000000
992.479622,0.170279,185253.000000,125166.000000
996.288742,0.169933,187818.000000,127000.000000
1001.360948,0.170646,190772.000000,128786.000000
1005.160137,0.171011,192876.000000,130097.000000
1008.955070,0.171498,193747.000000,130538.000000
1012.745747,0.172036,195280.000000,131408.000000
1016.532167,0.172626,196346.000000,131946.000000
1020.314331,0.172501,197194.000000,132554.000000
1024.092240,0.174890,198095.000000,132429.000000
1027.865892,0.174278,198497.000000,132885.000000
1031.635288,0.175329,199321.000000,133114.000000
1035.400428,0.175922,200160.000000,133492.000000
1040.413994,0.176249,199967.000000,133263.000000
1044.169203,0.176979,199836.000000,132952.000000
1047.920156,0.178298,200123.000000,132739.000000
1051.666852,0.178400,199995.000000,132623.000000
1055.409293,0.180646,200001.000000,131943.000000
1059.147477,0.181221,200157.000000,131871.000000
1062.881406,0.183857,200769.000000,131474.000000
1066.611078,0.184351,200632.000000,131235.000000
1070.336494,0.186646,201345.000000,131007.000000
1074.057654,0.189119,201966.000000,130665.000000
1079.012580,0.189640,203069.000000,131221.000000
1082.723809,0.193357,204488.000000,131012.000000
1086.430782,0.194563,205553.000000,131329.000000
1090.133498,0.197063,207289.000000,131678.000000
1093.831959,0.199919,209194.000000,132017.000000
1097.526163,0.202340,210937.000000,132377.000000
1101.216112,0.205175,213258.000000,132963.000000
