Method:,Column 1,,
1104.901804,0.209348,215518.000000,133087.000000
1108.583240,0.210986,217607.000000,133871.000000
1112.260420,0.214626,219948.000000,134182.000000
1115.933344,0.218520,221873.000000,134148.000000
1120.823955,0.226684,225409.000000,133748.000000
1124.486948,0.233190,228069.000000,133314.000000
1128.145685,0.239424,230370.000000,132740.000000
1131.800165,0.251753,232879.000000,130430.000000
1135.450390,0.265751,235735.000000,127842.000000
1139.096358,0.276791,238069.000000,125867.000000
1142.738071,0.291688,241252.000000,123249.000000
1146.375527,0.302554,243862.000000,121504.000000
1150.008727,0.313064,245824.000000,119553.000000
1153.637671,0.321782,249063.000000,118721.000000
1158.469642,0.330828,252780.000000,118009.000000
1162.088655,0.337838,256260.000000,117718.000000
1165.703412,0.342771,259055.000000,117658.000000
1169.313912,0.345986,261978.000000,118108.000000
1172.920157,0.346981,264985.000000,119190.000000
1176.522145,0.354152,269426.000000,119203.000000
1180.119878,0.356964,272409.000000,119745.000000
1183.713354,0.358365,276023.000000,120943.000000
1187.302574,0.363300,280835.000000,121661.000000
1190.887538,0.364541,284660.000000,122966.000000
1194.468246,0.368093,289355.000000,123976.000000
1199.235902,0.368512,294470.000000,126046.000000
1202.806679,0.369209,298982.000000,127772.000000
1206.373200,0.368373,303505.000000,129955.000000
1209.935464,0.368690,307931.000000,131754.000000
1213.493473,0.366188,312016.000000,134273.000000
1217.047225,0.365033,316965.000000,136766.000000
1220.596721,0.359778,321210.000000,140285.000000
1224.141962,0.359366,325858.000000,142450.000000
1227.682946,0.358557,330391.000000,144701.000000
1231.219673,0.355139,334507.000000,147661.000000
1235.928690,0.351334,339691.000000,151269.000000
1239.455487,0.348763,343760.000000,153990.000000
1242.978028,0.347447,347020.000000,155922.000000
1246.496312,0.348662,350545.000000,157066.000000
1250.010341,0.346956,353991.000000,159234.000000
1253.520113,0.347246,356683.000000,160338.000000
1257.025629,0.346729,358341.000000,161275.000000
1260.526889,0.348277,360820.000000,161813.000000
1264.023894,0.348134,364183.000000,163375.000000
1267.516641,0.350948,367840.000000,163950.000000
1272.167018,0.352502,373653.000000,165946.000000
1275.649835,0.354085,377992.000000,167262.000000
1279.128396,0.356694,382454.000000,168223.000000
1282.602700,0.361851,386758.000000,168108.000000
1286.072749,0.364959,391232.000000,168840.000000
1289.538541,0.369194,395482.000000,169018.000000
1293.000078,0.374451,399181.000000,168546.000000
1296.457358,0.378019,402851.000000,168704.000000
1299.910382,0.384396,405972.000000,167533.000000
1303.359150,0.389894,409012.000000,166664.000000
1306.803662,0.397163,412072.000000,165124.000000
1311.389723,0.407649,415273.000000,162437.000000
1314.824304,0.416936,418670.000000,160301.000000
1318.254629,0.426584,421073.000000,157679.000000
1321.680698,0.435305,422767.000000,155166.000000
1325.102510,0.447324,424477.000000,151541.000000
1328.520066,0.458375,425846.000000,148210.000000
1331.933367,0.468879,427220.000000,145135.000000
1335.342411,0.481034,428460.000000,141539.000000
1338.747199,0.492502,429602.000000,138218.000000
1342.147731,0.503562,430095.000000,134897.000000
1346.675152,0.517346,430925.000000,130935.000000
1350.065753,0.529728,430662.000000,127177.000000
1353.452098,0.540592,430235.000000,123912.000000
1356.834187,0.552128,429864.000000,120560.000000
1360.212019,0.564807,430326.000000,117217.000000
1363.585596,0.579145,429141.000000,113098.000000
1366.954916,0.598831,428594.000000,107948.000000
1370.319980,0.620955,427739.000000,102382.000000
1373.680788,0.650604,426684.000000,95390.000000
1377.037340,0.679749,424716.000000,88787.000000
1380.389636,0.718519,423009.000000,80878.000000
1384.852743,0.774341,421250.000000,70827.000000
1388.195107,0.818204,419513.000000,63759.000000
1391.533216,0.865116,418386.000000,57077.000000
1394.867069,0.910193,416533.000000,51222.000000
1398.196665,0.947402,415362.000000,46884.000000
1401.522005,0.987336,414359.000000,42662.000000
1404.843090,1.011674,412901.000000,40195.000000
1408.159918,1.045623,412217.000000,37111.000000
1411.472490,1.062993,411361.000000,35582.000000
1414.780805,1.077280,411033.000000,34403.000000
1419.185272,1.092920,409830.000000,33089.000000
1422.483657,1.105928,409401.000000,32079.000000
1425.777786,1.111896,409230.000000,31628.000000
1429.067659,1.117761,409352.000000,31213.000000
1432.353275,1.121478,408571.000000,30888.000000
1435.634635,1.124653,408784.000000,30679.000000
1438.911740,1.126830,408388.000000,30496.000000
1442.184588,1.137470,408718.000000,29782.000000
1445.453180,1.134356,408114.000000,29952.000000
1448.717516,1.129618,407298.000000,30220.000000
1453.063343,1.130438,406083.000000,30073.000000
1456.317748,1.136401,404893.000000,29576.000000
1459.567896,1.126253,403727.000000,30188.000000
1462.813789,1.133284,402460.000000,29610.000000
1466.055425,1.119770,401052.000000,30439.000000
1469.292806,1.118335,399335.000000,30409.000000
1472.525930,1.116445,397326.000000,30388.000000
1475.754798,1.108772,395699.000000,30803.000000
1478.979410,1.103639,393830.000000,31022.000000
1482.199766,1.093145,391553.000000,31597.000000
1485.415866,1.086959,389192.000000,31857.000000
1489.697378,1.072081,386592.000000,32747.000000
1492.903547,1.064168,383773.000000,33106.000000
1496.105460,1.053846,380646.000000,33626.000000
1499.303116,1.046867,377552.000000,33893.000000
1502.496517,1.039686,375404.000000,34262.000000
1505.685661,1.026433,371858.000000,34990.000000
1508.870549,1.016117,368993.000000,35555.000000
1512.051181,1.012987,365725.000000,35495.000000
1515.227557,0.999548,362273.000000,36265.000000
1518.399677,0.987027,358179.000000,36904.000000
1522.622549,1.009881,354157.000000,34619.000000
1525.784738,0.967804,350480.000000,37745.000000
1528.942671,0.959053,346255.000000,38049.000000
1532.096347,0.943189,342381.000000,39023.000000
1535.245768,0.931013,338077.000000,39628.000000
1538.390932,0.928644,334863.000000,39466.000000
1541.531840,0.919560,330125.000000,39730.000000
1544.668493,0.904001,325057.000000,40547.000000
1547.800888,0.900555,320643.000000,40315.000000
1550.929028,0.890526,316424.000000,40714.000000
1555.093261,0.877859,309495.000000,41001.000000
1558.211470,0.874900,305009.000000,40683.000000
1561.325422,0.863148,299676.000000,41068.000000
1564.435119,0.857221,294721.000000,40944.000000
1567.540560,0.851681,289557.000000,40743.000000
1570.641744,0.839287,284567.000000,41200.000000
1573.738672,0.835829,279754.000000,40827.000000
1576.831344,0.829055,274419.000000,40678.000000
1579.919760,0.821405,268872.000000,40564.000000
1583.003920,0.814316,263606.000000,40424.000000
1586.083824,0.806893,257921.000000,40234.000000
1590.183742,0.800369,250804.000000,39716.000000
1593.253714,0.795101,245422.000000,39338.000000
1596.319431,0.789017,239381.000000,38911.000000
1599.380892,0.790043,234206.000000,37980.000000
1602.438096,0.782477,228743.000000,37746.000000
1605.491044,0.778986,223323.000000,37149.000000
1608.539736,0.769505,217518.000000,36982.000000
1611.584172,0.769803,212282.000000,36067.000000
1614.624352,0.763505,206389.000000,35578.000000
1617.660276,0.757446,201087.000000,35151.000000
1621.701554,0.757403,193528.000000,33833.000000
1624.727547,0.752197,188622.000000,33373.000000
1627.749283,0.749614,183537.000000,32667.000000
1630.766764,0.745827,177844.000000,31931.000000
1633.779989,0.745803,171736.000000,30836.000000
1636.788957,0.744752,167154.000000,30086.000000
1639.793669,0.742952,161732.000000,29231.000000
1642.794125,0.734403,155612.000000,28684.000000
1645.790325,0.739869,149386.000000,27192.000000
1648.782269,0.735153,142246.000000,26175.000000
1651.769957,0.726828,133974.000000,25130.000000
1655.746920,0.712728,121380.000000,23519.000000
1658.724676,0.705097,110432.000000,21777.000000
1661.698177,0.695816,99058.000000,19956.000000
1664.667421,0.682143,87253.000000,18140.000000
1667.632410,0.674792,74987.000000,15856.000000
1670.593142,0.654715,63846.000000,14139.000000
1673.549618,0.657565,54103.000000,11903.000000
1676.501838,0.661752,45375.000000,9887.000000
1679.449802,0.641503,38529.000000,8796.000000
1682.393510,0.676502,32827.000000,6914.000000
1686.311833,0.672268,26067.000000,5544.000000
1689.245610,0.632301,22330.000000,5207.000000
1692.175130,0.642150,19574.000000,4462.000000
1695.100395,0.700477,16743.000000,3337.000000
1698.021403,0.689299,14743.000000,3015.000000
1700.938155,0.740551,12694.000000,2307.000000
