Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:28:19,,
Header Version:,1,,
System Temp (C):,30.72,,
Detector Temp (C):,27.7,,
Humidity (%):,43.89,,
Lamp PD:,3758,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.479,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.132034,41838.000000,3087.000000
904.997985,1.181524,48103.000000,3167.000000
908.903577,1.101688,54016.000000,4274.000000
912.804913,1.126064,60169.000000,4501.000000
918.000073,1.145034,70564.000000,5053.000000
921.891478,1.159111,79654.000000,5522.000000
925.778627,1.186752,89700.000000,5835.000000
929.661520,1.196420,100239.000000,6377.000000
933.540156,1.202939,109446.000000,6859.000000
937.414537,1.227013,117708.000000,6979.000000
941.284661,1.243303,124606.000000,7116.000000
945.150529,1.247059,131146.000000,7425.000000
949.012141,1.260551,136760.000000,7506.000000
952.869497,1.254364,141885.000000,7899.000000
958.006018,1.271106,147984.000000,7927.000000
961.853443,1.284352,153029.000000,7951.000000
965.696612,1.257647,157730.000000,8715.000000
969.535525,1.271781,162181.000000,8674.000000
973.370181,1.262924,166803.000000,9105.000000
977.200582,1.271940,171686.000000,9179.000000
981.026726,1.255916,175039.000000,9710.000000
984.848614,1.268862,179017.000000,9639.000000
988.666246,1.267801,182897.000000,9872.000000
992.479622,1.270772,185253.000000,9931.000000
996.288742,1.268428,187818.000000,10123.000000
1001.360948,1.260361,190772.000000,10475.000000
1005.160137,1.254962,192876.000000,10723.000000
1008.955070,1.261070,193747.000000,10621.000000
1012.745747,1.263635,195280.000000,10642.000000
1016.532167,1.248639,196346.000000,11076.000000
1020.314331,1.248633,197194.000000,11124.000000
1024.092240,1.244487,198095.000000,11282.000000
1027.865892,1.263166,198497.000000,10829.000000
1031.635288,1.248864,199321.000000,11238.000000
1035.400428,1.245311,200160.000000,11378.000000
1040.413994,1.245580,199967.000000,11360.000000
1044.169203,1.253087,199836.000000,11158.000000
1047.920156,1.266909,200123.000000,10824.000000
1051.666852,1.260180,199995.000000,10986.000000
1055.409293,1.254069,200001.000000,11142.000000
1059.147477,1.269841,200157.000000,10753.000000
1062.881406,1.261264,200769.000000,11001.000000
1066.611078,1.270709,200632.000000,10757.000000
1070.336494,1.255616,201345.000000,11177.000000
1074.057654,1.265943,201966.000000,10948.000000
1079.012580,1.283651,203069.000000,10568.000000
1082.723809,1.279744,204488.000000,10738.000000
1086.430782,1.282527,205553.000000,10725.000000
1090.133498,1.288168,207289.000000,10676.000000
