Method:,Column 1,,
Host Date-Time:,23/6/21 @ 7:22:53,,
Header Version:,1,,
System Temp (C):,26.76,,
Detector Temp (C):,23.41,,
Humidity (%):,49.6,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.075411,41838.000000,35169.000000
904.997985,0.079223,48103.000000,40082.000000
908.903577,0.082195,54016.000000,44702.000000
912.804913,0.091389,60169.000000,48751.000000
918.000073,0.097959,70564.000000,56315.000000
921.891478,0.098906,79654.000000,63431.000000
925.778627,0.104905,89700.000000,70451.000000
929.661520,0.111393,100239.000000,77561.000000
933.540156,0.114926,109446.000000,83999.000000
937.414537,0.117602,117708.000000,89785.000000
941.284661,0.123364,124606.000000,93794.000000
945.150529,0.129669,131146.000000,97294.000000
949.012141,0.138088,136760.000000,99511.000000
952.869497,0.143294,141885.000000,102010.000000
958.006018,0.149696,147984.000000,104838.000000
961.853443,0.155394,153029.000000,106999.000000
965.696612,0.158381,157730.000000,109530.000000
969.535525,0.159829,162181.000000,112246.000000
973.370181,0.165246,166803.000000,114014.000000
977.200582,0.168051,171686.000000,116596.000000
981.026726,0.167365,175039.000000,119061.000000
984.848614,0.171223,179017.000000,120690.000000
988.666246,0.171695,182897.000000,123172.000000
992.479622,0.171645,185253.000000,124773.000000
996.288742,0.173050,187818.000000,126092.000000
1001.360948,0.173223,190772.000000,128024.000000
1005.160137,0.175157,192876.000000,128861.000000
1008.955070,0.174282,193747.000000,129704.000000
1012.745747,0.176380,195280.000000,130100.000000
1016.532167,0.177445,196346.000000,130490.000000
1020.314331,0.176355,197194.000000,131383.000000
