Method:,Column 1,,
1024.092240,0.178186,198095.000000,131428.000000
1027.865892,0.178861,198497.000000,131490.000000
1031.635288,0.178486,199321.000000,132150.000000
1035.400428,0.180474,200160.000000,132100.000000
1040.413994,0.181726,199967.000000,131593.000000
1044.169203,0.181325,199836.000000,131628.000000
1047.920156,0.182025,200123.000000,131605.000000
1051.666852,0.183943,199995.000000,130941.000000
1055.409293,0.186445,200001.000000,130193.000000
1059.147477,0.186253,200157.000000,130352.000000
1062.881406,0.190420,200769.000000,129502.000000
1066.611078,0.189022,200632.000000,129831.000000
1070.336494,0.191678,201345.000000,129498.000000
1074.057654,0.192238,201966.000000,129730.000000
1079.012580,0.194995,203069.000000,129613.000000
1082.723809,0.197437,204488.000000,129787.000000
1086.430782,0.200691,205553.000000,129489.000000
1090.133498,0.202803,207289.000000,129949.000000
1093.831959,0.204609,209194.000000,130599.000000
1097.526163,0.206759,210937.000000,131037.000000
1101.216112,0.210879,213258.000000,131228.000000
1104.901804,0.212423,215518.000000,132148.000000
1108.583240,0.214782,217607.000000,132706.000000
1112.260420,0.218031,219948.000000,133134.000000
1115.933344,0.223473,221873.000000,132627.000000
1120.823955,0.230460,225409.000000,132590.000000
1124.486948,0.235791,228069.000000,132518.000000
1128.145685,0.245951,230370.000000,130760.000000
1131.800165,0.254663,232879.000000,129559.000000
1135.450390,0.266778,235735.000000,127540.000000
1139.096358,0.279407,238069.000000,125111.000000
1142.738071,0.294441,241252.000000,122470.000000
1146.375527,0.305862,243862.000000,120582.000000
1150.008727,0.315333,245824.000000,118930.000000
1153.637671,0.324291,249063.000000,118037.000000
1158.469642,0.333197,252780.000000,117367.000000
1162.088655,0.341509,256260.000000,116727.000000
1165.703412,0.344446,259055.000000,117205.000000
1169.313912,0.348456,261978.000000,117438.000000
1172.920157,0.351428,264985.000000,117976.000000
1176.522145,0.357257,269426.000000,118354.000000
1180.119878,0.359430,272409.000000,119067.000000
1183.713354,0.361956,276023.000000,119947.000000
1187.302574,0.367940,280835.000000,120368.000000
1190.887538,0.370408,284660.000000,121316.000000
1194.468246,0.371872,289355.000000,122902.000000
1199.235902,0.373798,294470.000000,124521.000000
1202.806679,0.374527,298982.000000,126217.000000
1206.373200,0.375574,303505.000000,127818.000000
1209.935464,0.374076,307931.000000,130130.000000
1213.493473,0.371051,312016.000000,132778.000000
1217.047225,0.370597,316965.000000,135025.000000
1220.596721,0.368111,321210.000000,137619.000000
1224.141962,0.364561,325858.000000,140756.000000
1227.682946,0.361272,330391.000000,143799.000000
1231.219673,0.359740,334507.000000,146105.000000
1235.928690,0.357446,339691.000000,149155.000000
1239.455487,0.355044,343760.000000,151779.000000
1242.978028,0.353480,347020.000000,153771.000000
1246.496312,0.352729,350545.000000,155602.000000
1250.010341,0.351679,353991.000000,157512.000000
1253.520113,0.352741,356683.000000,158322.000000
1257.025629,0.353132,358341.000000,158915.000000
1260.526889,0.352615,360820.000000,160205.000000
1264.023894,0.353561,364183.000000,161346.000000
1267.516641,0.355228,367840.000000,162342.000000
1272.167018,0.356659,373653.000000,164365.000000
1275.649835,0.359807,377992.000000,165073.000000
1279.128396,0.361946,382454.000000,166201.000000
1282.602700,0.365626,386758.000000,166653.000000
1286.072749,0.367573,391232.000000,167827.000000
1289.538541,0.371556,395482.000000,168101.000000
1293.000078,0.375928,399181.000000,167974.000000
1296.457358,0.381407,402851.000000,167393.000000
1299.910382,0.387502,405972.000000,166339.000000
1303.359150,0.394047,409012.000000,165078.000000
1306.803662,0.399965,412072.000000,164062.000000
1311.389723,0.411546,415273.000000,160986.000000
1314.824304,0.419923,418670.000000,159202.000000
1318.254629,0.428845,421073.000000,156860.000000
1321.680698,0.438922,422767.000000,153879.000000
1325.102510,0.449116,424477.000000,150917.000000
1328.520066,0.458821,425846.000000,148058.000000
1331.933367,0.471175,427220.000000,144370.000000
1335.342411,0.480494,428460.000000,141715.000000
1338.747199,0.492335,429602.000000,138271.000000
1342.147731,0.502170,430095.000000,135330.000000
1346.675152,0.517591,430925.000000,130861.000000
1350.065753,0.528398,430662.000000,127567.000000
1353.452098,0.538997,430235.000000,124368.000000
1356.834187,0.549768,429864.000000,121217.000000
1360.212019,0.563915,430326.000000,117458.000000
1363.585596,0.577799,429141.000000,113449.000000
1366.954916,0.595725,428594.000000,108723.000000
1370.319980,0.615949,427739.000000,103569.000000
1373.680788,0.644639,426684.000000,96709.000000
1377.037340,0.673596,424716.000000,90054.000000
1380.389636,0.710860,423009.000000,82317.000000
1384.852743,0.765023,421250.000000,72363.000000
1388.195107,0.810708,419513.000000,64869.000000
1391.533216,0.855626,418386.000000,58338.000000
1394.867069,0.901613,416533.000000,52244.000000
1398.196665,0.938754,415362.000000,47827.000000
1401.522005,0.978468,414359.000000,43542.000000
1404.843090,1.010994,412901.000000,40258.000000
1408.159918,1.037393,412217.000000,37821.000000
1411.472490,1.060741,411361.000000,35767.000000
1414.780805,1.071549,411033.000000,34860.000000
1419.185272,1.092343,409830.000000,33133.000000
1422.483657,1.103135,409401.000000,32286.000000
1425.777786,1.112377,409230.000000,31593.000000
1429.067659,1.121591,409352.000000,30939.000000
1432.353275,1.129510,408571.000000,30322.000000
1435.634635,1.128777,408784.000000,30389.000000
1438.911740,1.129831,408388.000000,30286.000000
1442.184588,1.135520,408718.000000,29916.000000
1445.453180,1.141549,408114.000000,29460.000000
1448.717516,1.140311,407298.000000,29485.000000
1453.063343,1.139456,406083.000000,29455.000000
1456.317748,1.135433,404893.000000,29642.000000
1459.567896,1.136457,403727.000000,29487.000000
1462.813789,1.130186,402460.000000,29822.000000
1466.055425,1.133099,401052.000000,29519.000000
1469.292806,1.125332,399335.000000,29923.000000
1472.525930,1.118565,397326.000000,30240.000000
1475.754798,1.109788,395699.000000,30731.000000
1478.979410,1.105491,393830.000000,30890.000000
1482.199766,1.097829,391553.000000,31258.000000
1485.415866,1.082443,389192.000000,32190.000000
1489.697378,1.080870,386592.000000,32091.000000
1492.903547,1.062244,383773.000000,33253.000000
1496.105460,1.060601,380646.000000,33107.000000
1499.303116,1.049785,377552.000000,33666.000000
1502.496517,1.041821,375404.000000,34094.000000
1505.685661,1.030348,371858.000000,34676.000000
1508.870549,1.019674,368993.000000,35265.000000
1512.051181,1.009648,365725.000000,35769.000000
1515.227557,1.000207,362273.000000,36210.000000
1518.399677,0.988477,358179.000000,36781.000000
1522.622549,0.980677,354157.000000,37027.000000
1525.784738,0.969926,350480.000000,37561.000000
1528.942671,0.959601,346255.000000,38001.000000
1532.096347,0.941390,342381.000000,39185.000000
1535.245768,0.938185,338077.000000,38979.000000
1538.390932,0.930364,334863.000000,39310.000000
1541.531840,0.916510,330125.000000,40010.000000
1544.668493,0.910508,325057.000000,39944.000000
1547.800888,0.900534,320643.000000,40317.000000
1550.929028,0.893329,316424.000000,40452.000000
1555.093261,0.879674,309495.000000,40830.000000
1558.211470,0.873897,305009.000000,40777.000000
1561.325422,0.863127,299676.000000,41070.000000
1564.435119,0.858772,294721.000000,40798.000000
1567.540560,0.852513,289557.000000,40665.000000
1570.641744,0.847309,284567.000000,40446.000000
1573.738672,0.838143,279754.000000,40610.000000
1576.831344,0.830788,274419.000000,40516.000000
1579.919760,0.824747,268872.000000,40253.000000
1583.003920,0.818657,263606.000000,40022.000000
1586.083824,0.812237,257921.000000,39742.000000
1590.183742,0.802166,250804.000000,39552.000000
1593.253714,0.799428,245422.000000,38948.000000
1596.319431,0.793189,239381.000000,38539.000000
1599.380892,0.787489,234206.000000,38204.000000
1602.438096,0.790747,228743.000000,37034.000000
1605.491044,0.779068,223323.000000,37142.000000
1608.539736,0.772971,217518.000000,36688.000000
1611.584172,0.772836,212282.000000,35816.000000
1614.624352,0.769157,206389.000000,35118.000000
1617.660276,0.764697,201087.000000,34569.000000
1621.701554,0.760120,193528.000000,33622.000000
1624.727547,0.760275,188622.000000,32758.000000
1627.749283,0.754387,183537.000000,32310.000000
1630.766764,0.753345,177844.000000,31383.000000
1633.779989,0.750106,171736.000000,30532.000000
1636.788957,0.747257,167154.000000,29913.000000
1639.793669,0.740493,161732.000000,29397.000000
1642.794125,0.741948,155612.000000,28190.000000
1645.790325,0.748939,149386.000000,26630.000000
1648.782269,0.743716,142246.000000,25664.000000
1651.769957,0.740058,133974.000000,24376.000000
1655.746920,0.721118,121380.000000,23069.000000
1658.724676,0.727944,110432.000000,20661.000000
1661.698177,0.717182,99058.000000,18998.000000
1664.667421,0.718662,87253.000000,16677.000000
1667.632410,0.711020,74987.000000,14587.000000
1670.593142,0.703455,63846.000000,12638.000000
1673.549618,0.705627,54103.000000,10656.000000
1676.501838,0.700840,45375.000000,9036.000000
1679.449802,0.725270,38529.000000,7253.000000
1682.393510,0.736635,32827.000000,6020.000000
1686.311833,0.744270,26067.000000,4697.000000
1689.245610,0.726053,22330.000000,4196.000000
1692.175130,0.768063,19574.000000,3339.000000
1695.100395,0.760986,16743.000000,2903.000000
1698.021403,0.775713,14743.000000,2471.000000
1700.938155,0.748147,12694.000000,2267.000000
