Method:,Column 1,,
Host Date-Time:,23/6/21 @ 8:17:11,,
Header Version:,1,,
System Temp (C):,26.57,,
Detector Temp (C):,24.17,,
Humidity (%):,49.89,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.460,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.051554,41838.000000,37155.000000
904.997985,0.056058,48103.000000,42278.000000
908.903577,0.065555,54016.000000,46448.000000
912.804913,0.064565,60169.000000,51857.000000
918.000073,0.074709,70564.000000,59412.000000
921.891478,0.077062,79654.000000,66703.000000
925.778627,0.085407,89700.000000,73686.000000
929.661520,0.092348,100239.000000,81038.000000
933.540156,0.095285,109446.000000,87885.000000
937.414537,0.100389,117708.000000,93415.000000
941.284661,0.103485,124606.000000,98187.000000
945.150529,0.111340,131146.000000,101488.000000
949.012141,0.118922,136760.000000,104001.000000
952.869497,0.124946,141885.000000,106412.000000
958.006018,0.133706,147984.000000,108770.000000
961.853443,0.138201,153029.000000,111320.000000
965.696612,0.142953,157730.000000,113491.000000
969.535525,0.143805,162181.000000,116465.000000
973.370181,0.146657,166803.000000,119000.000000
977.200582,0.149841,171686.000000,121589.000000
981.026726,0.150344,175039.000000,123820.000000
984.848614,0.152800,179017.000000,125920.000000
988.666246,0.154183,182897.000000,128240.000000
992.479622,0.154450,185253.000000,129812.000000
996.288742,0.155248,187818.000000,131368.000000
1001.360948,0.157532,190772.000000,132734.000000
1005.160137,0.159101,192876.000000,133714.000000
1008.955070,0.157616,193747.000000,134778.000000
1012.745747,0.158084,195280.000000,135698.000000
1016.532167,0.157858,196346.000000,136510.000000
1020.314331,0.160631,197194.000000,136227.000000
1024.092240,0.160664,198095.000000,136839.000000
1027.865892,0.161585,198497.000000,136826.000000
1031.635288,0.162142,199321.000000,137218.000000
1035.400428,0.163024,200160.000000,137516.000000
1040.413994,0.162138,199967.000000,137664.000000
1044.169203,0.163424,199836.000000,137167.000000
1047.920156,0.163990,200123.000000,137185.000000
1051.666852,0.165750,199995.000000,136543.000000
1055.409293,0.167404,200001.000000,136028.000000
1059.147477,0.168404,200157.000000,135821.000000
1062.881406,0.171582,200769.000000,135243.000000
1066.611078,0.171645,200632.000000,135131.000000
1070.336494,0.171816,201345.000000,135558.000000
1074.057654,0.174424,201966.000000,135162.000000
1079.012580,0.176510,203069.000000,135249.000000
1082.723809,0.179360,204488.000000,135303.000000
1086.430782,0.180299,205553.000000,135714.000000
1090.133498,0.183398,207289.000000,135887.000000
1093.831959,0.186532,209194.000000,136150.000000
1097.526163,0.187524,210937.000000,136971.000000
1101.216112,0.191377,213258.000000,137255.000000
1104.901804,0.193315,215518.000000,138092.000000
1108.583240,0.197847,217607.000000,137983.000000
1112.260420,0.201030,219948.000000,138449.000000
1115.933344,0.203828,221873.000000,138764.000000
1120.823955,0.212674,225409.000000,138133.000000
1124.486948,0.219855,228069.000000,137471.000000
1128.145685,0.226626,230370.000000,136710.000000
1131.800165,0.237479,232879.000000,134788.000000
1135.450390,0.250428,235735.000000,132433.000000
1139.096358,0.262963,238069.000000,129939.000000
1142.738071,0.276957,241252.000000,127501.000000
1146.375527,0.288888,243862.000000,125388.000000
1150.008727,0.300038,245824.000000,123193.000000
1153.637671,0.310644,249063.000000,121805.000000
1158.469642,0.318095,252780.000000,121520.000000
1162.088655,0.325382,256260.000000,121143.000000
1165.703412,0.329732,259055.000000,121244.000000
1169.313912,0.331734,261978.000000,122048.000000
1172.920157,0.336684,264985.000000,122050.000000
1176.522145,0.341351,269426.000000,122769.000000
1180.119878,0.342971,272409.000000,123666.000000
1183.713354,0.347356,276023.000000,124048.000000
1187.302574,0.352498,280835.000000,124725.000000
1190.887538,0.353181,284660.000000,126225.000000
1194.468246,0.354258,289355.000000,127989.000000
1199.235902,0.355231,294470.000000,129960.000000
1202.806679,0.357324,298982.000000,131317.000000
1206.373200,0.357515,303505.000000,133245.000000
1209.935464,0.356367,307931.000000,135546.000000
1213.493473,0.353556,312016.000000,138236.000000
1217.047225,0.353131,316965.000000,140566.000000
1220.596721,0.348520,321210.000000,143969.000000
1224.141962,0.346891,325858.000000,146601.000000
1227.682946,0.343267,330391.000000,149886.000000
1231.219673,0.341819,334507.000000,152260.000000
1235.928690,0.338703,339691.000000,155733.000000
1239.455487,0.337065,343760.000000,158194.000000
1242.978028,0.336479,347020.000000,159910.000000
1246.496312,0.335712,350545.000000,161820.000000
1250.010341,0.334564,353991.000000,163843.000000
1253.520113,0.334446,356683.000000,165134.000000
1257.025629,0.333801,358341.000000,166148.000000
1260.526889,0.335550,360820.000000,166625.000000
1264.023894,0.336176,364183.000000,167936.000000
1267.516641,0.337459,367840.000000,169122.000000
1272.167018,0.340115,373653.000000,170747.000000
1275.649835,0.341671,377992.000000,172112.000000
1279.128396,0.344659,382454.000000,172950.000000
1282.602700,0.347460,386758.000000,173772.000000
1286.072749,0.351735,391232.000000,174060.000000
1289.538541,0.356525,395482.000000,174021.000000
1293.000078,0.360010,399181.000000,174245.000000
1296.457358,0.365232,402851.000000,173745.000000
1299.910382,0.371133,405972.000000,172728.000000
1303.359150,0.377563,409012.000000,171464.000000
1306.803662,0.384504,412072.000000,170008.000000
1311.389723,0.396283,415273.000000,166744.000000
1314.824304,0.405049,418670.000000,164749.000000
1318.254629,0.414274,421073.000000,162212.000000
1321.680698,0.425825,422767.000000,158590.000000
1325.102510,0.434596,424477.000000,156048.000000
1328.520066,0.447018,425846.000000,152137.000000
1331.933367,0.456938,427220.000000,149181.000000
1335.342411,0.470027,428460.000000,145172.000000
1338.747199,0.481372,429602.000000,141806.000000
1342.147731,0.493088,430095.000000,138190.000000
1346.675152,0.508186,430925.000000,133726.000000
1350.065753,0.518573,430662.000000,130486.000000
1353.452098,0.529755,430235.000000,127043.000000
1356.834187,0.541407,429864.000000,123573.000000
1360.212019,0.554815,430326.000000,119945.000000
1363.585596,0.569439,429141.000000,115654.000000
1366.954916,0.591396,428594.000000,109812.000000
1370.319980,0.613803,427739.000000,104082.000000
1373.680788,0.640505,426684.000000,97634.000000
1377.037340,0.673832,424716.000000,90005.000000
1380.389636,0.713750,423009.000000,81771.000000
1384.852743,0.772042,421250.000000,71203.000000
1388.195107,0.817972,419513.000000,63793.000000
1391.533216,0.866885,418386.000000,56845.000000
1394.867069,0.911756,416533.000000,51038.000000
1398.196665,0.954274,415362.000000,46148.000000
1401.522005,0.995775,414359.000000,41841.000000
1404.843090,1.028977,412901.000000,38625.000000
1408.159918,1.059198,412217.000000,35969.000000
1411.472490,1.078499,411361.000000,34334.000000
1414.780805,1.095468,411033.000000,32992.000000
1419.185272,1.115619,409830.000000,31404.000000
1422.483657,1.127223,409401.000000,30544.000000
1425.777786,1.132205,409230.000000,30183.000000
1429.067659,1.141157,409352.000000,29576.000000
1432.353275,1.145602,408571.000000,29219.000000
1435.634635,1.150852,408784.000000,28883.000000
1438.911740,1.154070,408388.000000,28642.000000
1442.184588,1.159745,408718.000000,28293.000000
1445.453180,1.151630,408114.000000,28784.000000
1448.717516,1.156105,407298.000000,28432.000000
1453.063343,1.157473,406083.000000,28258.000000
1456.317748,1.157831,404893.000000,28152.000000
1459.567896,1.158899,403727.000000,28002.000000
1462.813789,1.148357,402460.000000,28600.000000
1466.055425,1.148905,401052.000000,28464.000000
1469.292806,1.142700,399335.000000,28750.000000
1472.525930,1.136210,397326.000000,29036.000000
1475.754798,1.128265,395699.000000,29451.000000
1478.979410,1.120132,393830.000000,29866.000000
1482.199766,1.114961,391553.000000,30049.000000
1485.415866,1.105907,389192.000000,30497.000000
1489.697378,1.093962,386592.000000,31138.000000
1492.903547,1.078572,383773.000000,32026.000000
1496.105460,1.072531,380646.000000,32210.000000
1499.303116,1.060640,377552.000000,32835.000000
1502.496517,1.051768,375404.000000,33322.000000
1505.685661,1.040382,371858.000000,33884.000000
1508.870549,1.032764,368993.000000,34218.000000
1512.051181,1.024003,365725.000000,34606.000000
1515.227557,1.007184,362273.000000,35633.000000
1518.399677,0.999236,358179.000000,35881.000000
1522.622549,0.984128,354157.000000,36734.000000
1525.784738,0.976532,350480.000000,36994.000000
1528.942671,0.963896,346255.000000,37627.000000
1532.096347,0.952776,342381.000000,38171.000000
1535.245768,0.939055,338077.000000,38901.000000
1538.390932,0.932058,334863.000000,39157.000000
1541.531840,0.922896,330125.000000,39426.000000
1544.668493,0.908848,325057.000000,40097.000000
1547.800888,0.898964,320643.000000,40463.000000
1550.929028,0.889737,316424.000000,40788.000000
1555.093261,0.876759,309495.000000,41105.000000
1558.211470,0.871667,305009.000000,40987.000000
1561.325422,0.863371,299676.000000,41047.000000
1564.435119,0.855126,294721.000000,41142.000000
1567.540560,0.849830,289557.000000,40917.000000
1570.641744,0.842759,284567.000000,40872.000000
1573.738672,0.835308,279754.000000,40876.000000
1576.831344,0.825419,274419.000000,41020.000000
1579.919760,0.817398,268872.000000,40940.000000
1583.003920,0.813779,263606.000000,40474.000000
1586.083824,0.809296,257921.000000,40012.000000
1590.183742,0.797416,250804.000000,39987.000000
1593.253714,0.795101,245422.000000,39338.000000
1596.319431,0.789207,239381.000000,38894.000000
1599.380892,0.783101,234206.000000,38592.000000
1602.438096,0.777046,228743.000000,38221.000000
1605.491044,0.775250,223323.000000,37470.000000
1608.539736,0.771482,217518.000000,36814.000000
1611.584172,0.767689,212282.000000,36243.000000
1614.624352,0.755498,206389.000000,36240.000000
1617.660276,0.758324,201087.000000,35080.000000
1621.701554,0.746077,193528.000000,34727.000000
1624.727547,0.756395,188622.000000,33052.000000
1627.749283,0.751773,183537.000000,32505.000000
1630.766764,0.743534,177844.000000,32100.000000
1633.779989,0.736248,171736.000000,31522.000000
1636.788957,0.734284,167154.000000,30820.000000
1639.793669,0.741691,161732.000000,29316.000000
1642.794125,0.731175,155612.000000,28898.000000
1645.790325,0.729968,149386.000000,27819.000000
1648.782269,0.728273,142246.000000,26593.000000
1651.769957,0.726448,133974.000000,25152.000000
1655.746920,0.716679,121380.000000,23306.000000
1658.724676,0.709890,110432.000000,21538.000000
1661.698177,0.708670,99058.000000,19374.000000
1664.667421,0.705252,87253.000000,17200.000000
1667.632410,0.691716,74987.000000,15250.000000
1670.593142,0.681707,63846.000000,13287.000000
1673.549618,0.689702,54103.000000,11054.000000
1676.501838,0.678773,45375.000000,9507.000000
1679.449802,0.672345,38529.000000,8193.000000
1682.393510,0.698798,32827.000000,6568.000000
1686.311833,0.710313,26067.000000,5079.000000
1689.245610,0.709901,22330.000000,4355.000000
1692.175130,0.677732,19574.000000,4111.000000
1695.100395,0.697882,16743.000000,3357.000000
1698.021403,0.680317,14743.000000,3078.000000
1700.938155,0.776035,12694.000000,2126.000000
