Method:,Column 1,,
Host Date-Time:,23/6/21 @ 14:29:9,,
Header Version:,1,,
System Temp (C):,29.03,,
Detector Temp (C):,26.96,,
Humidity (%):,42.81,,
Lamp PD:,3756,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.479,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.062670,41838.000000,36216.000000
904.997985,0.068785,48103.000000,41057.000000
908.903577,0.077298,54016.000000,45209.000000
912.804913,0.077140,60169.000000,50377.000000
918.000073,0.090717,70564.000000,57262.000000
921.891478,0.094621,79654.000000,64060.000000
925.778627,0.100355,89700.000000,71193.000000
929.661520,0.106471,100239.000000,78445.000000
933.540156,0.110139,109446.000000,84930.000000
937.414537,0.113683,117708.000000,90599.000000
941.284661,0.116405,124606.000000,95309.000000
945.150529,0.124786,131146.000000,98394.000000
949.012141,0.131741,136760.000000,100976.000000
952.869497,0.138122,141885.000000,103232.000000
958.006018,0.142943,147984.000000,106481.000000
961.853443,0.148960,153029.000000,108596.000000
965.696612,0.152110,157730.000000,111123.000000
969.535525,0.156449,162181.000000,113123.000000
973.370181,0.158548,166803.000000,115786.000000
977.200582,0.161159,171686.000000,118461.000000
981.026726,0.162332,175039.000000,120449.000000
984.848614,0.162368,179017.000000,123176.000000
988.666246,0.165092,182897.000000,125059.000000
992.479622,0.166499,185253.000000,126260.000000
996.288742,0.167033,187818.000000,127851.000000
1001.360948,0.168496,190772.000000,129425.000000
1005.160137,0.167984,192876.000000,131007.000000
1008.955070,0.169649,193747.000000,131095.000000
1012.745747,0.171158,195280.000000,131674.000000
1016.532167,0.169880,196346.000000,132783.000000
1020.314331,0.170768,197194.000000,133084.000000
1024.092240,0.171773,198095.000000,133383.000000
1027.865892,0.172022,198497.000000,133577.000000
1031.635288,0.172351,199321.000000,134030.000000
1035.400428,0.174568,200160.000000,133909.000000
1040.413994,0.175695,199967.000000,133433.000000
1044.169203,0.176858,199836.000000,132989.000000
1047.920156,0.176653,200123.000000,133243.000000
1051.666852,0.177880,199995.000000,132782.000000
1055.409293,0.179758,200001.000000,132213.000000
1059.147477,0.179850,200157.000000,132288.000000
1062.881406,0.182936,200769.000000,131753.000000
1066.611078,0.182627,200632.000000,131757.000000
1070.336494,0.184424,201345.000000,131679.000000
1074.057654,0.185880,201966.000000,131643.000000
1079.012580,0.189521,203069.000000,131257.000000
1082.723809,0.191613,204488.000000,131539.000000
1086.430782,0.192831,205553.000000,131854.000000
