Method:,Column 1,,
Host Date-Time:,23/6/21 @ 16:49:8,,
Header Version:,1,,
System Temp (C):,29.99,,
Detector Temp (C):,27.34,,
Humidity (%):,41.12,,
Lamp PD:,3762,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.484,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1363.585596,0.555385,429141.000000,119458.000000
1366.954916,0.575008,428594.000000,114035.000000
1370.319980,0.598403,427739.000000,107839.000000
1373.680788,0.625115,426684.000000,101156.000000
1377.037340,0.657282,424716.000000,93501.000000
1380.389636,0.698887,423009.000000,84618.000000
1384.852743,0.756642,421250.000000,73773.000000
1388.195107,0.804262,419513.000000,65839.000000
1391.533216,0.853687,418386.000000,58599.000000
1394.867069,0.900045,416533.000000,52433.000000
1398.196665,0.942612,415362.000000,47404.000000
1401.522005,0.979537,414359.000000,43435.000000
1404.843090,1.009540,412901.000000,40393.000000
1408.159918,1.040435,412217.000000,37557.000000
1411.472490,1.062444,411361.000000,35627.000000
1414.780805,1.082206,411033.000000,34015.000000
1419.185272,1.099186,409830.000000,32615.000000
1422.483657,1.105712,409401.000000,32095.000000
1425.777786,1.115785,409230.000000,31346.000000
1429.067659,1.123448,409352.000000,30807.000000
1432.353275,1.122364,408571.000000,30825.000000
1435.634635,1.129464,408784.000000,30341.000000
1438.911740,1.135547,408388.000000,29890.000000
1442.184588,1.141249,408718.000000,29524.000000
1445.453180,1.140783,408114.000000,29512.000000
1448.717516,1.134168,407298.000000,29905.000000
1453.063343,1.142816,406083.000000,29228.000000
1456.317748,1.143209,404893.000000,29116.000000
1459.567896,1.141524,403727.000000,29145.000000
1462.813789,1.135726,402460.000000,29444.000000
1466.055425,1.130766,401052.000000,29678.000000
1469.292806,1.124202,399335.000000,30001.000000
1472.525930,1.117360,397326.000000,30324.000000
1475.754798,1.101502,395699.000000,31323.000000
1478.979410,1.101739,393830.000000,31158.000000
1482.199766,1.087681,391553.000000,31997.000000
1485.415866,1.076108,389192.000000,32663.000000
1489.697378,1.068620,386592.000000,33009.000000
1492.903547,1.060510,383773.000000,33386.000000
1496.105460,1.049605,380646.000000,33956.000000
1499.303116,1.039725,377552.000000,34455.000000
1502.496517,1.029997,375404.000000,35035.000000
1505.685661,1.017271,371858.000000,35736.000000
1508.870549,1.003122,368993.000000,36635.000000
1512.051181,0.994859,365725.000000,37008.000000
