Method:,Column 1,,
Host Date-Time:,23/6/21 @ 12:18:17,,
Header Version:,1,,
System Temp (C):,28.4,,
Detector Temp (C):,25.97,,
Humidity (%):,42.58,,
Lamp PD:,3757,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.514,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.063571,41838.000000,36141.000000
904.997985,0.069643,48103.000000,40976.000000
908.903577,0.074396,54016.000000,45512.000000
912.804913,0.078427,60169.000000,50228.000000
918.000073,0.090557,70564.000000,57283.000000
921.891478,0.091796,79654.000000,64478.000000
925.778627,0.099271,89700.000000,71371.000000
929.661520,0.105332,100239.000000,78651.000000
933.540156,0.108108,109446.000000,85328.000000
937.414537,0.112768,117708.000000,90790.000000
941.284661,0.116610,124606.000000,95264.000000
945.150529,0.122963,131146.000000,98808.000000
949.012141,0.130393,136760.000000,101290.000000
952.869497,0.137958,141885.000000,103271.000000
958.006018,0.145544,147984.000000,105845.000000
961.853443,0.150747,153029.000000,108150.000000
965.696612,0.155315,157730.000000,110306.000000
969.535525,0.157610,162181.000000,112821.000000
973.370181,0.161257,166803.000000,115066.000000
977.200582,0.163221,171686.000000,117900.000000
981.026726,0.163064,175039.000000,120246.000000
984.848614,0.163894,179017.000000,122744.000000
988.666246,0.167100,182897.000000,124482.000000
992.479622,0.165585,185253.000000,126526.000000
996.288742,0.168237,187818.000000,127497.000000
1001.360948,0.167330,190772.000000,129773.000000
1005.160137,0.169698,192876.000000,130491.000000
1008.955070,0.168342,193747.000000,131490.000000
1012.745747,0.170331,195280.000000,131925.000000
1016.532167,0.170986,196346.000000,132445.000000
1020.314331,0.167747,197194.000000,134013.000000
1024.092240,0.170365,198095.000000,133816.000000
1027.865892,0.171834,198497.000000,133635.000000
1031.635288,0.173074,199321.000000,133807.000000
1035.400428,0.173757,200160.000000,134159.000000
1040.413994,0.173316,199967.000000,134166.000000
1044.169203,0.173721,199836.000000,133953.000000
1047.920156,0.173878,200123.000000,134097.000000
1051.666852,0.176140,199995.000000,133315.000000
1055.409293,0.176512,200001.000000,133205.000000
1059.147477,0.179804,200157.000000,132302.000000
1062.881406,0.180632,200769.000000,132454.000000
1066.611078,0.181836,200632.000000,131997.000000
1070.336494,0.184698,201345.000000,131596.000000
1074.057654,0.185376,201966.000000,131796.000000
1079.012580,0.187145,203069.000000,131977.000000
1082.723809,0.191874,204488.000000,131460.000000
1086.430782,0.190348,205553.000000,132610.000000
1090.133498,0.195033,207289.000000,132295.000000
1093.831959,0.198078,209194.000000,132578.000000
1097.526163,0.198772,210937.000000,133469.000000
1101.216112,0.204280,213258.000000,133237.000000
1104.901804,0.208113,215518.000000,133466.000000
1108.583240,0.207619,217607.000000,134913.000000
1112.260420,0.213427,219948.000000,134553.000000
1115.933344,0.217792,221873.000000,134373.000000
1120.823955,0.225400,225409.000000,134144.000000
1124.486948,0.230890,228069.000000,134022.000000
1128.145685,0.239843,230370.000000,132612.000000
1131.800165,0.251021,232879.000000,130650.000000
1135.450390,0.263602,235735.000000,128476.000000
1139.096358,0.277440,238069.000000,125679.000000
