Method:,Column 1,,
Host Date-Time:,23/6/21 @ 6:17:22,,
Header Version:,1,,
System Temp (C):,24.15,,
Detector Temp (C):,19.84,,
Humidity (%):,54.12,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.606,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.160373,41838.000000,28920.000000
904.997985,0.165188,48103.000000,32884.000000
908.903577,0.170587,54016.000000,36470.000000
912.804913,0.174607,60169.000000,40250.000000
918.000073,0.181897,70564.000000,46418.000000
921.891478,0.185346,79654.000000,51983.000000
925.778627,0.190699,89700.000000,57822.000000
929.661520,0.200464,100239.000000,63179.000000
933.540156,0.205709,109446.000000,68154.000000
937.414537,0.215456,117708.000000,71672.000000
941.284661,0.222911,124606.000000,74581.000000
945.150529,0.234190,131146.000000,76483.000000
949.012141,0.242797,136760.000000,78192.000000
952.869497,0.254128,141885.000000,79033.000000
958.006018,0.264041,147984.000000,80570.000000
961.853443,0.272281,153029.000000,81751.000000
965.696612,0.276972,157730.000000,83357.000000
969.535525,0.282373,162181.000000,84650.000000
973.370181,0.286601,166803.000000,86219.000000
977.200582,0.288946,171686.000000,88265.000000
981.026726,0.287620,175039.000000,90264.000000
984.848614,0.290089,179017.000000,91792.000000
988.666246,0.290189,182897.000000,93760.000000
992.479622,0.291090,185253.000000,94771.000000
996.288742,0.291728,187818.000000,95942.000000
1001.360948,0.291376,190772.000000,97530.000000
1005.160137,0.291326,192876.000000,98617.000000
1008.955070,0.288771,193747.000000,99647.000000
1012.745747,0.289608,195280.000000,100242.000000
1016.532167,0.290739,196346.000000,100527.000000
1020.314331,0.289404,197194.000000,101272.000000
1024.092240,0.289420,198095.000000,101731.000000
1027.865892,0.284858,198497.000000,103014.000000
1031.635288,0.286944,199321.000000,102946.000000
1035.400428,0.286815,200160.000000,103410.000000
1040.413994,0.285431,199967.000000,103640.000000
1044.169203,0.286620,199836.000000,103289.000000
1047.920156,0.286214,200123.000000,103534.000000
1051.666852,0.286373,199995.000000,103430.000000
1055.409293,0.290177,200001.000000,102531.000000
1059.147477,0.288209,200157.000000,103077.000000
1062.881406,0.290606,200769.000000,102823.000000
1066.611078,0.290154,200632.000000,102860.000000
1070.336494,0.295298,201345.000000,102010.000000
1074.057654,0.293979,201966.000000,102636.000000
1079.012580,0.297187,203069.000000,102437.000000
1082.723809,0.301455,204488.000000,102144.000000
1086.430782,0.304217,205553.000000,102025.000000
1090.133498,0.305967,207289.000000,102473.000000
1093.831959,0.310708,209194.000000,102292.000000
1097.526163,0.311375,210937.000000,102986.000000
1101.216112,0.317250,213258.000000,102720.000000
1104.901804,0.323124,215518.000000,102414.000000
1108.583240,0.323073,217607.000000,103419.000000
1112.260420,0.329951,219948.000000,102889.000000
1115.933344,0.333596,221873.000000,102922.000000
1120.823955,0.345706,225409.000000,101687.000000
1124.486948,0.355723,228069.000000,100541.000000
1128.145685,0.366400,230370.000000,99089.000000
1131.800165,0.381053,232879.000000,96845.000000
1135.450390,0.398982,235735.000000,94068.000000
1139.096358,0.416494,238069.000000,91245.000000
1142.738071,0.436146,241252.000000,88374.000000
1146.375527,0.453186,243862.000000,85893.000000
1150.008727,0.464920,245824.000000,84276.000000
1153.637671,0.477702,249063.000000,82910.000000
1158.469642,0.489310,252780.000000,81928.000000
1162.088655,0.497033,256260.000000,81592.000000
1165.703412,0.502794,259055.000000,81395.000000
1169.313912,0.510053,261978.000000,80949.000000
1172.920157,0.513901,264985.000000,81156.000000
1176.522145,0.518968,269426.000000,81559.000000
1180.119878,0.524181,272409.000000,81478.000000
1183.713354,0.526576,276023.000000,82105.000000
1187.302574,0.531450,280835.000000,82604.000000
1190.887538,0.532037,284660.000000,83616.000000
1194.468246,0.531563,289355.000000,85088.000000
1199.235902,0.533509,294470.000000,86205.000000
1202.806679,0.531844,298982.000000,87862.000000
1206.373200,0.532337,303505.000000,89090.000000
1209.935464,0.530913,307931.000000,90686.000000
1213.493473,0.530073,312016.000000,92067.000000
1217.047225,0.527680,316965.000000,94044.000000
