Method:,Column 1,,
Host Date-Time:,23/6/21 @ 16:47:59,,
Header Version:,1,,
System Temp (C):,30.08,,
Detector Temp (C):,27.41,,
Humidity (%):,40.2,,
Lamp PD:,3763,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.485,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.140788,41838.000000,30254.000000
904.997985,0.147474,48103.000000,34253.000000
908.903577,0.157658,54016.000000,37572.000000
912.804913,0.164402,60169.000000,41207.000000
918.000073,0.169501,70564.000000,47762.000000
921.891478,0.178722,79654.000000,52782.000000
925.778627,0.181602,89700.000000,59046.000000
929.661520,0.196032,100239.000000,63827.000000
933.540156,0.197465,109446.000000,69460.000000
937.414537,0.205826,117708.000000,73279.000000
941.284661,0.213031,124606.000000,76297.000000
945.150529,0.222145,131146.000000,78634.000000
949.012141,0.234261,136760.000000,79744.000000
952.869497,0.242980,141885.000000,81088.000000
958.006018,0.255359,147984.000000,82197.000000
961.853443,0.262313,153029.000000,83649.000000
965.696612,0.266085,157730.000000,85473.000000
969.535525,0.269608,162181.000000,87175.000000
973.370181,0.274476,166803.000000,88660.000000
977.200582,0.277262,171686.000000,90672.000000
981.026726,0.276233,175039.000000,92662.000000
984.848614,0.279055,179017.000000,94154.000000
988.666246,0.278296,182897.000000,96363.000000
992.479622,0.278645,185253.000000,97526.000000
996.288742,0.278299,187818.000000,98955.000000
1001.360948,0.279092,190772.000000,100328.000000
1005.160137,0.278932,192876.000000,101472.000000
1008.955070,0.278048,193747.000000,102138.000000
1012.745747,0.276494,195280.000000,103315.000000
1016.532167,0.276214,196346.000000,103946.000000
1020.314331,0.275154,197194.000000,104650.000000
1024.092240,0.273452,198095.000000,105541.000000
1027.865892,0.273946,198497.000000,105635.000000
1031.635288,0.273592,199321.000000,106160.000000
1035.400428,0.275674,200160.000000,106097.000000
1040.413994,0.271043,199967.000000,107131.000000
1044.169203,0.272013,199836.000000,106822.000000
1047.920156,0.274082,200123.000000,106467.000000
1051.666852,0.274110,199995.000000,106392.000000
1055.409293,0.274495,200001.000000,106301.000000
1059.147477,0.274131,200157.000000,106473.000000
1062.881406,0.278449,200769.000000,105742.000000
1066.611078,0.277652,200632.000000,105864.000000
1070.336494,0.280228,201345.000000,105612.000000
1074.057654,0.280403,201966.000000,105895.000000
1079.012580,0.283852,203069.000000,105631.000000
1082.723809,0.285571,204488.000000,105949.000000
1086.430782,0.289461,205553.000000,105551.000000
1090.133498,0.294548,207289.000000,105203.000000
1093.831959,0.298769,209194.000000,105143.000000
1097.526163,0.299573,210937.000000,105823.000000
1101.216112,0.304871,213258.000000,105690.000000
1104.901804,0.309577,215518.000000,105659.000000
1108.583240,0.312027,217607.000000,106083.000000
1112.260420,0.317076,219948.000000,105985.000000
1115.933344,0.320418,221873.000000,106093.000000
1120.823955,0.332262,225409.000000,104884.000000
1124.486948,0.343718,228069.000000,103359.000000
1128.145685,0.355075,230370.000000,101707.000000
1131.800165,0.371280,232879.000000,99049.000000
1135.450390,0.389425,235735.000000,96161.000000
1139.096358,0.407879,238069.000000,93073.000000
1142.738071,0.426668,241252.000000,90324.000000
1146.375527,0.444328,243862.000000,87663.000000
1150.008727,0.458425,245824.000000,85546.000000
1153.637671,0.470173,249063.000000,84360.000000
1158.469642,0.481582,252780.000000,83399.000000
1162.088655,0.487426,256260.000000,83417.000000
1165.703412,0.495052,259055.000000,82859.000000
1169.313912,0.500355,261978.000000,82777.000000
1172.920157,0.504311,264985.000000,82968.000000
1176.522145,0.507418,269426.000000,83757.000000
1180.119878,0.512123,272409.000000,83772.000000
1183.713354,0.514793,276023.000000,84363.000000
1187.302574,0.516948,280835.000000,85409.000000
1190.887538,0.517356,284660.000000,86491.000000
1194.468246,0.520835,289355.000000,87216.000000
1199.235902,0.517985,294470.000000,89342.000000
1202.806679,0.519765,298982.000000,90340.000000
1206.373200,0.516602,303505.000000,92377.000000
1209.935464,0.515478,307931.000000,93967.000000
1213.493473,0.514114,312016.000000,95513.000000
1217.047225,0.512582,316965.000000,97371.000000
1220.596721,0.509171,321210.000000,99453.000000
1224.141962,0.510379,325858.000000,100612.000000
1227.682946,0.509560,330391.000000,102204.000000
1231.219673,0.507309,334507.000000,104015.000000
1235.928690,0.505500,339691.000000,106068.000000
1239.455487,0.504952,343760.000000,107474.000000
1242.978028,0.504993,347020.000000,108483.000000
1246.496312,0.503845,350545.000000,109875.000000
1250.010341,0.502532,353991.000000,111291.000000
1253.520113,0.504466,356683.000000,111639.000000
1257.025629,0.506115,358341.000000,111733.000000
1260.526889,0.507526,360820.000000,112141.000000
1264.023894,0.507408,364183.000000,113217.000000
1267.516641,0.508868,367840.000000,113970.000000
1272.167018,0.513902,373653.000000,114437.000000
1275.649835,0.517673,377992.000000,114765.000000
1279.128396,0.520095,382454.000000,115474.000000
1282.602700,0.525945,386758.000000,115211.000000
1286.072749,0.529646,391232.000000,115555.000000
1289.538541,0.536142,395482.000000,115076.000000
1293.000078,0.541686,399181.000000,114679.000000
1296.457358,0.549319,402851.000000,113717.000000
1299.910382,0.557000,405972.000000,112589.000000
1303.359150,0.565702,409012.000000,111182.000000
1306.803662,0.577196,412072.000000,109088.000000
1311.389723,0.592365,415273.000000,106162.000000
1314.824304,0.603625,418670.000000,104291.000000
1318.254629,0.619967,421073.000000,101016.000000
1321.680698,0.632110,422767.000000,98626.000000
1325.102510,0.645565,424477.000000,96004.000000
1328.520066,0.662163,425846.000000,92702.000000
1331.933367,0.679168,427220.000000,89430.000000
1335.342411,0.692985,428460.000000,86881.000000
1338.747199,0.708746,429602.000000,84008.000000
1342.147731,0.721109,430095.000000,81744.000000
1346.675152,0.742352,430925.000000,77992.000000
1350.065753,0.756414,430662.000000,75461.000000
1353.452098,0.770746,430235.000000,72939.000000
1356.834187,0.785099,429864.000000,70507.000000
1360.212019,0.804951,430326.000000,67429.000000
1363.585596,0.819807,429141.000000,64982.000000
1366.954916,0.843348,428594.000000,61475.000000
1370.319980,0.868538,427739.000000,57895.000000
1373.680788,0.904236,426684.000000,53195.000000
1377.037340,0.939981,424716.000000,48766.000000
1380.389636,0.986156,423009.000000,43671.000000
1384.852743,1.045763,421250.000000,37912.000000
1388.195107,1.096755,419513.000000,33573.000000
1391.533216,1.145209,418386.000000,29948.000000
1394.867069,1.186648,416533.000000,27102.000000
1398.196665,1.226275,415362.000000,24669.000000
1401.522005,1.264288,414359.000000,22547.000000
1404.843090,1.294040,412901.000000,20980.000000
1408.159918,1.313293,412217.000000,20037.000000
1411.472490,1.343265,411361.000000,18662.000000
1414.780805,1.343687,411033.000000,18629.000000
1419.185272,1.369392,409830.000000,17507.000000
1422.483657,1.367179,409401.000000,17578.000000
1425.777786,1.380906,409230.000000,17024.000000
1429.067659,1.392748,409352.000000,16571.000000
1432.353275,1.398042,408571.000000,16339.000000
1435.634635,1.404965,408784.000000,16089.000000
1438.911740,1.401424,408388.000000,16205.000000
1442.184588,1.419191,408718.000000,15568.000000
1445.453180,1.416573,408114.000000,15639.000000
1448.717516,1.419272,407298.000000,15511.000000
1453.063343,1.417499,406083.000000,15528.000000
1456.317748,1.404906,404893.000000,15938.000000
1459.567896,1.417187,403727.000000,15449.000000
1462.813789,1.413915,402460.000000,15517.000000
1466.055425,1.419390,401052.000000,15269.000000
1469.292806,1.406962,399335.000000,15645.000000
1472.525930,1.402501,397326.000000,15727.000000
1475.754798,1.401964,395699.000000,15682.000000
1478.979410,1.406633,393830.000000,15441.000000
1482.199766,1.403834,391553.000000,15451.000000
1485.415866,1.394513,389192.000000,15691.000000
1489.697378,1.383024,386592.000000,16004.000000
1492.903547,1.381014,383773.000000,15961.000000
1496.105460,1.371623,380646.000000,16177.000000
1499.303116,1.359703,377552.000000,16492.000000
1502.496517,1.371140,375404.000000,15972.000000
1505.685661,1.346440,371858.000000,16747.000000
1508.870549,1.351381,368993.000000,16430.000000
1512.051181,1.340152,365725.000000,16711.000000
1515.227557,1.331792,362273.000000,16875.000000
1518.399677,1.326599,358179.000000,16885.000000
1522.622549,1.315591,354157.000000,17124.000000
1525.784738,1.309868,350480.000000,17171.000000
1528.942671,1.313338,346255.000000,16829.000000
1532.096347,1.292242,342381.000000,17469.000000
1535.245768,1.279866,338077.000000,17748.000000
1538.390932,1.280021,334863.000000,17573.000000
1541.531840,1.257963,330125.000000,18227.000000
1544.668493,1.260370,325057.000000,17848.000000
1547.800888,1.239625,320643.000000,18467.000000
1550.929028,1.242111,316424.000000,18120.000000
1555.093261,1.229129,309495.000000,18261.000000
1558.211470,1.220842,305009.000000,18343.000000
1561.325422,1.210209,299676.000000,18469.000000
1564.435119,1.199548,294721.000000,18615.000000
1567.540560,1.194445,289557.000000,18505.000000
1570.641744,1.196242,284567.000000,18111.000000
1573.738672,1.188978,279754.000000,18105.000000
1576.831344,1.181024,274419.000000,18088.000000
1579.919760,1.176596,268872.000000,17904.000000
1583.003920,1.168758,263606.000000,17873.000000
1586.083824,1.157156,257921.000000,17961.000000
1590.183742,1.150356,250804.000000,17741.000000
1593.253714,1.140764,245422.000000,17748.000000
1596.319431,1.134837,239381.000000,17549.000000
1599.380892,1.122067,234206.000000,17682.000000
1602.438096,1.133470,228743.000000,16822.000000
1605.491044,1.125853,223323.000000,16714.000000
1608.539736,1.109300,217518.000000,16912.000000
1611.584172,1.112228,212282.000000,16394.000000
1614.624352,1.108346,206389.000000,16082.000000
1617.660276,1.103136,201087.000000,15858.000000
1621.701554,1.098828,193528.000000,15414.000000
1624.727547,1.093263,188622.000000,15217.000000
1627.749283,1.087343,183537.000000,15010.000000
1630.766764,1.085003,177844.000000,14623.000000
1633.779989,1.079768,171736.000000,14292.000000
1636.788957,1.087698,167154.000000,13659.000000
1639.793669,1.070746,161732.000000,13742.000000
1642.794125,1.084087,155612.000000,12822.000000
1645.790325,1.070917,149386.000000,12688.000000
1648.782269,1.071873,142246.000000,12055.000000
1651.769957,1.056687,133974.000000,11758.000000
1655.746920,1.032879,121380.000000,11253.000000
1658.724676,1.025186,110432.000000,10421.000000
1661.698177,1.049241,99058.000000,8844.000000
