Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:2:13,,
Header Version:,1,,
System Temp (C):,30.48,,
Detector Temp (C):,27.39,,
Humidity (%):,43.36,,
Lamp PD:,3760,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.506,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.134150,41838.000000,3072.000000
904.997985,1.118098,48103.000000,3665.000000
908.903577,1.152168,54016.000000,3805.000000
912.804913,1.130038,60169.000000,4460.000000
918.000073,1.137789,70564.000000,5138.000000
921.891478,1.152013,79654.000000,5613.000000
925.778627,1.202053,89700.000000,5633.000000
929.661520,1.222813,100239.000000,6001.000000
933.540156,1.227759,109446.000000,6478.000000
937.414537,1.224902,117708.000000,7013.000000
941.284661,1.223324,124606.000000,7451.000000
945.150529,1.249581,131146.000000,7382.000000
949.012141,1.245930,136760.000000,7763.000000
952.869497,1.268900,141885.000000,7639.000000
958.006018,1.265770,147984.000000,8025.000000
961.853443,1.281629,153029.000000,8001.000000
965.696612,1.285852,157730.000000,8167.000000
969.535525,1.261489,162181.000000,8882.000000
973.370181,1.276391,166803.000000,8827.000000
977.200582,1.255414,171686.000000,9535.000000
981.026726,1.258248,175039.000000,9658.000000
984.848614,1.251420,179017.000000,10034.000000
988.666246,1.250721,182897.000000,10268.000000
992.479622,1.254170,185253.000000,10318.000000
996.288742,1.244232,187818.000000,10703.000000
1001.360948,1.235661,190772.000000,11088.000000
1005.160137,1.238276,192876.000000,11143.000000
1008.955070,1.232163,193747.000000,11352.000000
1012.745747,1.241634,195280.000000,11195.000000
1016.532167,1.235394,196346.000000,11419.000000
1020.314331,1.226782,197194.000000,11698.000000
1024.092240,1.216031,198095.000000,12046.000000
1027.865892,1.227568,198497.000000,11754.000000
1031.635288,1.216086,199321.000000,12119.000000
1035.400428,1.222087,200160.000000,12003.000000
1040.413994,1.214563,199967.000000,12201.000000
1044.169203,1.215419,199836.000000,12169.000000
1047.920156,1.218081,200123.000000,12112.000000
1051.666852,1.217983,199995.000000,12107.000000
1055.409293,1.225960,200001.000000,11887.000000
1059.147477,1.223240,200157.000000,11971.000000
1062.881406,1.221998,200769.000000,12042.000000
1066.611078,1.217003,200632.000000,12173.000000
1070.336494,1.230993,201345.000000,11829.000000
1074.057654,1.230169,201966.000000,11888.000000
1079.012580,1.240238,203069.000000,11679.000000
1082.723809,1.247297,204488.000000,11571.000000
1086.430782,1.246710,205553.000000,11647.000000
1090.133498,1.263075,207289.000000,11311.000000
1093.831959,1.271292,209194.000000,11201.000000
1097.526163,1.269119,210937.000000,11351.000000
1101.216112,1.289055,213258.000000,10961.000000
1104.901804,1.303329,215518.000000,10719.000000
1108.583240,1.322271,217607.000000,10361.000000
1112.260420,1.336711,219948.000000,10130.000000
1115.933344,1.345714,221873.000000,10009.000000
1120.823955,1.376805,225409.000000,9466.000000
1124.486948,1.391361,228069.000000,9262.000000
1128.145685,1.408039,230370.000000,9003.000000
1131.800165,1.427761,232879.000000,8697.000000
1135.450390,1.452196,235735.000000,8322.000000
1139.096358,1.480287,238069.000000,7878.000000
1142.738071,1.456540,241252.000000,8432.000000
1146.375527,1.473966,243862.000000,8188.000000
1150.008727,1.471232,245824.000000,8306.000000
1153.637671,1.481068,249063.000000,8227.000000
1158.469642,1.479447,252780.000000,8381.000000
1162.088655,1.462229,256260.000000,8840.000000
1165.703412,1.479753,259055.000000,8583.000000
1169.313912,1.475117,261978.000000,8773.000000
1172.920157,1.488824,264985.000000,8598.000000
1176.522145,1.473647,269426.000000,9053.000000
1180.119878,1.480641,272409.000000,9007.000000
1183.713354,1.480570,276023.000000,9128.000000
1187.302574,1.489601,280835.000000,9096.000000
1190.887538,1.484864,284660.000000,9321.000000
1194.468246,1.486137,289355.000000,9447.000000
1199.235902,1.492141,294470.000000,9482.000000
1202.806679,1.487175,298982.000000,9738.000000
1206.373200,1.481341,303505.000000,10019.000000
1209.935464,1.498292,307931.000000,9776.000000
1213.493473,1.482564,312016.000000,10271.000000
1217.047225,1.493776,316965.000000,10168.000000
1220.596721,1.478421,321210.000000,10675.000000
1224.141962,1.490105,325858.000000,10542.000000
1227.682946,1.471169,330391.000000,11165.000000
1231.219673,1.477247,334507.000000,11147.000000
1235.928690,1.475438,339691.000000,11367.000000
1239.455487,1.472472,343760.000000,11582.000000
1242.978028,1.470538,347020.000000,11744.000000
1246.496312,1.471465,350545.000000,11838.000000
1250.010341,1.482778,353991.000000,11647.000000
1253.520113,1.478308,356683.000000,11857.000000
1257.025629,1.461085,358341.000000,12394.000000
1260.526889,1.468446,360820.000000,12270.000000
1264.023894,1.471379,364183.000000,12301.000000
1267.516641,1.484492,367840.000000,12055.000000
1272.167018,1.484368,373653.000000,12249.000000
1275.649835,1.479220,377992.000000,12539.000000
1279.128396,1.483590,382454.000000,12560.000000
1282.602700,1.473930,386758.000000,12987.000000
1286.072749,1.481912,391232.000000,12898.000000
1289.538541,1.488663,395482.000000,12837.000000
1293.000078,1.495149,399181.000000,12765.000000
1296.457358,1.498206,402851.000000,12792.000000
1299.910382,1.503429,405972.000000,12737.000000
1303.359150,1.509783,409012.000000,12646.000000
1306.803662,1.506543,412072.000000,12836.000000
1311.389723,1.523653,415273.000000,12436.000000
1314.824304,1.528380,418670.000000,12402.000000
1318.254629,1.520280,421073.000000,12708.000000
1321.680698,1.531490,422767.000000,12434.000000
1325.102510,1.536082,424477.000000,12353.000000
1328.520066,1.543855,425846.000000,12173.000000
1331.933367,1.540288,427220.000000,12313.000000
1335.342411,1.538069,428460.000000,12412.000000
1338.747199,1.560853,429602.000000,11809.000000
1342.147731,1.548202,430095.000000,12172.000000
1346.675152,1.553415,430925.000000,12050.000000
1350.065753,1.550312,430662.000000,12129.000000
1353.452098,1.556520,430235.000000,11945.000000
1356.834187,1.554005,429864.000000,12004.000000
1360.212019,1.542835,430326.000000,12330.000000
1363.585596,1.555960,429141.000000,11930.000000
1366.954916,1.545259,428594.000000,12212.000000
1370.319980,1.551166,427739.000000,12023.000000
1373.680788,1.552375,426684.000000,11960.000000
1377.037340,1.543558,424716.000000,12149.000000
1380.389636,1.557459,423009.000000,11719.000000
1384.852743,1.549906,421250.000000,11875.000000
1388.195107,1.562123,419513.000000,11498.000000
1391.533216,1.563683,418386.000000,11426.000000
1394.867069,1.561679,416533.000000,11428.000000
1398.196665,1.555431,415362.000000,11561.000000
1401.522005,1.559255,414359.000000,11432.000000
1404.843090,1.562191,412901.000000,11315.000000
1408.159918,1.557346,412217.000000,11423.000000
1411.472490,1.555531,411361.000000,11447.000000
1414.780805,1.565551,411033.000000,11177.000000
1419.185272,1.566968,409830.000000,11108.000000
1422.483657,1.562427,409401.000000,11213.000000
1425.777786,1.549010,409230.000000,11560.000000
1429.067659,1.566031,409352.000000,11119.000000
1432.353275,1.562748,408571.000000,11182.000000
1435.634635,1.567072,408784.000000,11077.000000
1438.911740,1.574444,408388.000000,10880.000000
1442.184588,1.557808,408718.000000,11314.000000
1445.453180,1.571804,408114.000000,10939.000000
1448.717516,1.562560,407298.000000,11152.000000
1453.063343,1.563331,406083.000000,11099.000000
1456.317748,1.569635,404893.000000,10907.000000
1459.567896,1.562568,403727.000000,11054.000000
1462.813789,1.567376,402460.000000,10898.000000
1466.055425,1.579660,401052.000000,10557.000000
1469.292806,1.561963,399335.000000,10949.000000
1472.525930,1.565321,397326.000000,10810.000000
1475.754798,1.555380,395699.000000,11015.000000
1478.979410,1.562972,393830.000000,10773.000000
1482.199766,1.561746,391553.000000,10741.000000
1485.415866,1.579017,389192.000000,10260.000000
1489.697378,1.583922,386592.000000,10077.000000
1492.903547,1.590770,383773.000000,9847.000000
1496.105460,1.570391,380646.000000,10236.000000
1499.303116,1.573818,377552.000000,10073.000000
1502.496517,1.567263,375404.000000,10168.000000
1505.685661,1.575488,371858.000000,9883.000000
1508.870549,1.577746,368993.000000,9756.000000
1512.051181,1.577234,365725.000000,9681.000000
1515.227557,1.552955,362273.000000,10141.000000
1518.399677,1.581805,358179.000000,9382.000000
1522.622549,1.564669,354157.000000,9650.000000
1525.784738,1.580875,350480.000000,9200.000000
1528.942671,1.573348,346255.000000,9248.000000
1532.096347,1.565653,342381.000000,9308.000000
1535.245768,1.563391,338077.000000,9239.000000
1538.390932,1.562119,334863.000000,9178.000000
1541.531840,1.561454,330125.000000,9062.000000
1544.668493,1.573090,325057.000000,8687.000000
1547.800888,1.598127,320643.000000,8089.000000
1550.929028,1.574751,316424.000000,8424.000000
1555.093261,1.566013,309495.000000,8407.000000
1558.211470,1.570870,305009.000000,8193.000000
1561.325422,1.560567,299676.000000,8243.000000
1564.435119,1.597897,294721.000000,7439.000000
1567.540560,1.560058,289557.000000,7974.000000
1570.641744,1.580631,284567.000000,7474.000000
1573.738672,1.586259,279754.000000,7253.000000
1576.831344,1.561389,274419.000000,7534.000000
1579.919760,1.549247,268872.000000,7591.000000
1583.003920,1.592682,263606.000000,6734.000000
1586.083824,1.561269,257921.000000,7083.000000
1590.183742,1.546367,250804.000000,7128.000000
1593.253714,1.557660,245422.000000,6796.000000
1596.319431,1.539926,239381.000000,6905.000000
1599.380892,1.571431,234206.000000,6283.000000
1602.438096,1.544900,228743.000000,6523.000000
1605.491044,1.558156,223323.000000,6177.000000
1608.539736,1.568635,217518.000000,5873.000000
1611.584172,1.540304,212282.000000,6118.000000
1614.624352,1.546270,206389.000000,5867.000000
1617.660276,1.557607,201087.000000,5569.000000
1621.701554,1.557498,193528.000000,5361.000000
1624.727547,1.561850,188622.000000,5173.000000
1627.749283,1.557604,183537.000000,5083.000000
1630.766764,1.564835,177844.000000,4844.000000
1633.779989,1.520448,171736.000000,5181.000000
1636.788957,1.591065,167154.000000,4286.000000
1639.793669,1.562392,161732.000000,4430.000000
1642.794125,1.578730,155612.000000,4105.000000
1645.790325,1.548175,149386.000000,4228.000000
1648.782269,1.509884,142246.000000,4397.000000
1651.769957,1.554497,133974.000000,3737.000000
1655.746920,1.570131,121380.000000,3266.000000
1658.724676,1.511233,110432.000000,3403.000000
1661.698177,1.480016,99058.000000,3280.000000
1664.667421,1.460199,87253.000000,3024.000000
1667.632410,1.431097,74987.000000,2779.000000
1670.593142,1.423838,63846.000000,2406.000000
1673.549618,1.388240,54103.000000,2213.000000
1676.501838,1.509140,45375.000000,1405.000000
1679.449802,1.446539,38529.000000,1378.000000
1682.393510,1.423511,32827.000000,1238.000000
1686.311833,1.640117,26067.000000,597.000000
1689.245610,1.292746,22330.000000,1138.000000
1692.175130,1.413733,19574.000000,755.000000
1695.100395,1.362897,16743.000000,726.000000
1698.021403,1.506773,14743.000000,459.000000
1700.938155,1.136051,12694.000000,928.000000
