Method:,Column 1,,
Host Date-Time:,23/6/21 @ 7:22:1,,
Header Version:,1,,
System Temp (C):,26.26,,
Detector Temp (C):,23.27,,
Humidity (%):,50.45,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.458,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.179217,41838.000000,27692.000000
904.997985,0.181387,48103.000000,31680.000000
908.903577,0.189324,54016.000000,34930.000000
912.804913,0.191853,60169.000000,38683.000000
918.000073,0.199716,70564.000000,44552.000000
921.891478,0.209057,79654.000000,49221.000000
925.778627,0.210586,89700.000000,55234.000000
929.661520,0.222242,100239.000000,60089.000000
933.540156,0.224473,109446.000000,65272.000000
937.414537,0.232001,117708.000000,68993.000000
941.284661,0.237128,124606.000000,72179.000000
945.150529,0.247691,131146.000000,74142.000000
949.012141,0.256152,136760.000000,75824.000000
952.869497,0.261633,141885.000000,77679.000000
958.006018,0.274787,147984.000000,78601.000000
961.853443,0.280123,153029.000000,80288.000000
965.696612,0.285076,157730.000000,81816.000000
969.535525,0.288048,162181.000000,83551.000000
973.370181,0.291499,166803.000000,85252.000000
977.200582,0.296761,171686.000000,86691.000000
981.026726,0.296619,175039.000000,88413.000000
984.848614,0.299623,179017.000000,89799.000000
988.666246,0.300112,182897.000000,91642.000000
992.479622,0.300156,185253.000000,92813.000000
996.288742,0.301058,187818.000000,93903.000000
1001.360948,0.300598,190772.000000,95481.000000
1005.160137,0.301859,192876.000000,96254.000000
1008.955070,0.301656,193747.000000,96734.000000
1012.745747,0.298723,195280.000000,98160.000000
1016.532167,0.299771,196346.000000,98458.000000
1020.314331,0.300841,197194.000000,98640.000000
1024.092240,0.299968,198095.000000,99290.000000
1027.865892,0.299577,198497.000000,99581.000000
1031.635288,0.299080,199321.000000,100109.000000
1035.400428,0.300406,200160.000000,100224.000000
1040.413994,0.297601,199967.000000,100776.000000
1044.169203,0.299178,199836.000000,100345.000000
1047.920156,0.302058,200123.000000,99825.000000
1051.666852,0.300685,199995.000000,100077.000000
1055.409293,0.301019,200001.000000,100003.000000
1059.147477,0.302658,200157.000000,99704.000000
1062.881406,0.302905,200769.000000,99952.000000
1066.611078,0.305696,200632.000000,99244.000000
1070.336494,0.305246,201345.000000,99700.000000
1074.057654,0.307888,201966.000000,99401.000000
1079.012580,0.312663,203069.000000,98851.000000
1082.723809,0.313303,204488.000000,99395.000000
1086.430782,0.314542,205553.000000,99628.000000
1090.133498,0.317615,207289.000000,99761.000000
1093.831959,0.320310,209194.000000,100055.000000
1097.526163,0.323823,210937.000000,100076.000000
1101.216112,0.325156,213258.000000,100867.000000
1104.901804,0.331858,215518.000000,100375.000000
1108.583240,0.333386,217607.000000,100992.000000
1112.260420,0.336934,219948.000000,101248.000000
1115.933344,0.343088,221873.000000,100697.000000
1120.823955,0.351454,225409.000000,100350.000000
1124.486948,0.358714,228069.000000,99851.000000
1128.145685,0.369656,230370.000000,98349.000000
1131.800165,0.379844,232879.000000,97115.000000
1135.450390,0.396244,235735.000000,94663.000000
1139.096358,0.413586,238069.000000,91858.000000
1142.738071,0.429378,241252.000000,89762.000000
1146.375527,0.443610,243862.000000,87808.000000
1150.008727,0.454478,245824.000000,86327.000000
1153.637671,0.466426,249063.000000,85091.000000
1158.469642,0.477157,252780.000000,84253.000000
1162.088655,0.483132,256260.000000,84246.000000
1165.703412,0.487559,259055.000000,84301.000000
1169.313912,0.492108,261978.000000,84364.000000
1172.920157,0.495923,264985.000000,84586.000000
1176.522145,0.502679,269426.000000,84676.000000
1180.119878,0.504227,272409.000000,85309.000000
1183.713354,0.509426,276023.000000,85412.000000
1187.302574,0.512063,280835.000000,86375.000000
1190.887538,0.514752,284660.000000,87011.000000
1194.468246,0.513983,289355.000000,88603.000000
1199.235902,0.513921,294470.000000,90182.000000
1202.806679,0.514485,298982.000000,91445.000000
1206.373200,0.513753,303505.000000,92985.000000
1209.935464,0.514379,307931.000000,94205.000000
1213.493473,0.513928,312016.000000,95554.000000
1217.047225,0.513023,316965.000000,97272.000000
1220.596721,0.513005,321210.000000,98579.000000
1224.141962,0.513406,325858.000000,99913.000000
1227.682946,0.512331,330391.000000,101554.000000
1231.219673,0.511943,334507.000000,102911.000000
1235.928690,0.510275,339691.000000,104908.000000
1239.455487,0.511417,343760.000000,105886.000000
1242.978028,0.509492,347020.000000,107365.000000
1246.496312,0.509558,350545.000000,108439.000000
1250.010341,0.510118,353991.000000,109364.000000
1253.520113,0.511336,356683.000000,109887.000000
1257.025629,0.511221,358341.000000,110427.000000
1260.526889,0.512289,360820.000000,110918.000000
1264.023894,0.513189,364183.000000,111720.000000
1267.516641,0.516204,367840.000000,112061.000000
1272.167018,0.519125,373653.000000,113069.000000
1275.649835,0.521089,377992.000000,113866.000000
1279.128396,0.524989,382454.000000,114180.000000
1282.602700,0.528099,386758.000000,114641.000000
1286.072749,0.533110,391232.000000,114637.000000
1289.538541,0.537329,395482.000000,114762.000000
1293.000078,0.543865,399181.000000,114105.000000
1296.457358,0.549629,402851.000000,113636.000000
1299.910382,0.557351,405972.000000,112498.000000
1303.359150,0.561751,409012.000000,112198.000000
1306.803662,0.571568,412072.000000,110511.000000
1311.389723,0.584512,415273.000000,108099.000000
