Method:,Column 1,,
Host Date-Time:,23/6/21 @ 13:28:31,,
Header Version:,1,,
System Temp (C):,29.15,,
Detector Temp (C):,26.33,,
Humidity (%):,43.41,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.513,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.148551,41838.000000,29718.000000
904.997985,0.161243,48103.000000,33184.000000
908.903577,0.166557,54016.000000,36810.000000
912.804913,0.171232,60169.000000,40564.000000
918.000073,0.180813,70564.000000,46534.000000
921.891478,0.184503,79654.000000,52084.000000
925.778627,0.191971,89700.000000,57653.000000
929.661520,0.201324,100239.000000,63054.000000
933.540156,0.205345,109446.000000,68211.000000
937.414537,0.212985,117708.000000,72081.000000
941.284661,0.218848,124606.000000,75282.000000
945.150529,0.232433,131146.000000,76793.000000
949.012141,0.241101,136760.000000,78498.000000
952.869497,0.253156,141885.000000,79210.000000
958.006018,0.264171,147984.000000,80546.000000
961.853443,0.268794,153029.000000,82410.000000
965.696612,0.274748,157730.000000,83785.000000
969.535525,0.279535,162181.000000,85205.000000
973.370181,0.283099,166803.000000,86917.000000
977.200582,0.284268,171686.000000,89221.000000
981.026726,0.283512,175039.000000,91122.000000
984.848614,0.286340,179017.000000,92588.000000
988.666246,0.286770,182897.000000,94501.000000
992.479622,0.284956,185253.000000,96119.000000
996.288742,0.284537,187818.000000,97544.000000
1001.360948,0.284678,190772.000000,99046.000000
1005.160137,0.283622,192876.000000,100382.000000
1008.955070,0.282097,193747.000000,101190.000000
1012.745747,0.281475,195280.000000,102137.000000
1016.532167,0.281925,196346.000000,102588.000000
1020.314331,0.279454,197194.000000,103619.000000
1024.092240,0.278752,198095.000000,104261.000000
1027.865892,0.278866,198497.000000,104445.000000
1031.635288,0.276972,199321.000000,105337.000000
1035.400428,0.279452,200160.000000,105178.000000
1040.413994,0.277780,199967.000000,105482.000000
1044.169203,0.275950,199836.000000,105858.000000
1047.920156,0.275721,200123.000000,106066.000000
1051.666852,0.277014,199995.000000,105683.000000
1055.409293,0.276624,200001.000000,105781.000000
1059.147477,0.280301,200157.000000,104971.000000
1062.881406,0.278519,200769.000000,105725.000000
1066.611078,0.280484,200632.000000,105176.000000
1070.336494,0.284073,201345.000000,104681.000000
1074.057654,0.284656,201966.000000,104863.000000
1079.012580,0.286537,203069.000000,104980.000000
1082.723809,0.287506,204488.000000,105478.000000
1086.430782,0.291288,205553.000000,105108.000000
1090.133498,0.294164,207289.000000,105296.000000
1093.831959,0.296598,209194.000000,105670.000000
1097.526163,0.299466,210937.000000,105849.000000
1101.216112,0.304161,213258.000000,105863.000000
1104.901804,0.308231,215518.000000,105987.000000
1108.583240,0.311001,217607.000000,106334.000000
1112.260420,0.316122,219948.000000,106218.000000
1115.933344,0.321553,221873.000000,105816.000000
1120.823955,0.332763,225409.000000,104763.000000
1124.486948,0.343076,228069.000000,103512.000000
1128.145685,0.354742,230370.000000,101785.000000
1131.800165,0.368858,232879.000000,99603.000000
1135.450390,0.392080,235735.000000,95575.000000
1139.096358,0.409417,238069.000000,92744.000000
1142.738071,0.428446,241252.000000,89955.000000
1146.375527,0.446852,243862.000000,87155.000000
1150.008727,0.459568,245824.000000,85321.000000
1153.637671,0.470940,249063.000000,84211.000000
1158.469642,0.482301,252780.000000,83261.000000
1162.088655,0.489190,256260.000000,83079.000000
1165.703412,0.492872,259055.000000,83276.000000
1169.313912,0.499852,261978.000000,82873.000000
1172.920157,0.500875,264985.000000,83627.000000
1176.522145,0.509055,269426.000000,83442.000000
1180.119878,0.510684,272409.000000,84050.000000
1183.713354,0.511485,276023.000000,85008.000000
1187.302574,0.513832,280835.000000,86024.000000
1190.887538,0.514667,284660.000000,87028.000000
1194.468246,0.518892,289355.000000,87607.000000
1199.235902,0.516714,294470.000000,89604.000000
1202.806679,0.515412,298982.000000,91250.000000
1206.373200,0.513804,303505.000000,92974.000000
1209.935464,0.512269,307931.000000,94664.000000
1213.493473,0.509803,312016.000000,96466.000000
1217.047225,0.510704,316965.000000,97793.000000
1220.596721,0.507511,321210.000000,99834.000000
1224.141962,0.506524,325858.000000,101509.000000
1227.682946,0.505306,330391.000000,103210.000000
1231.219673,0.502869,334507.000000,105084.000000
1235.928690,0.500962,339691.000000,107182.000000
1239.455487,0.501864,343760.000000,108241.000000
1242.978028,0.500073,347020.000000,109719.000000
1246.496312,0.498744,350545.000000,111173.000000
1250.010341,0.499352,353991.000000,112109.000000
1253.520113,0.497876,356683.000000,113346.000000
1257.025629,0.499125,358341.000000,113546.000000
1260.526889,0.500572,360820.000000,113951.000000
1264.023894,0.502264,364183.000000,114566.000000
1267.516641,0.504727,367840.000000,115062.000000
1272.167018,0.508535,373653.000000,115860.000000
1275.649835,0.510926,377992.000000,116562.000000
1279.128396,0.516328,382454.000000,116480.000000
1282.602700,0.521061,386758.000000,116514.000000
1286.072749,0.524977,391232.000000,116804.000000
1289.538541,0.531853,395482.000000,116218.000000
1293.000078,0.537356,399181.000000,115828.000000
1296.457358,0.544885,402851.000000,114884.000000
1299.910382,0.553508,405972.000000,113498.000000
1303.359150,0.562638,409012.000000,111969.000000
1306.803662,0.571686,412072.000000,110481.000000
1311.389723,0.588917,415273.000000,107008.000000
1314.824304,0.602855,418670.000000,104476.000000
1318.254629,0.616098,421073.000000,101920.000000
1321.680698,0.628758,422767.000000,99390.000000
1325.102510,0.647201,424477.000000,95643.000000
1328.520066,0.663116,425846.000000,92499.000000
1331.933367,0.678984,427220.000000,89468.000000
1335.342411,0.696519,428460.000000,86177.000000
1338.747199,0.711161,429602.000000,83542.000000
1342.147731,0.727688,430095.000000,80515.000000
1346.675152,0.747877,430925.000000,77006.000000
1350.065753,0.763031,430662.000000,74320.000000
1353.452098,0.778926,430235.000000,71578.000000
1356.834187,0.795017,429864.000000,68915.000000
1360.212019,0.813997,430326.000000,66039.000000
1363.585596,0.833832,429141.000000,62917.000000
1366.954916,0.860187,428594.000000,59137.000000
1370.319980,0.889736,427739.000000,55137.000000
1373.680788,0.923773,426684.000000,50855.000000
1377.037340,0.964172,424716.000000,46124.000000
1380.389636,1.011073,423009.000000,41236.000000
1384.852743,1.086746,421250.000000,34498.000000
1388.195107,1.148923,419513.000000,29773.000000
1391.533216,1.205869,418386.000000,26044.000000
1394.867069,1.263012,416533.000000,22732.000000
1398.196665,1.320251,415362.000000,19869.000000
1401.522005,1.367469,414359.000000,17779.000000
1404.843090,1.409884,412901.000000,16068.000000
1408.159918,1.428000,412217.000000,15386.000000
1411.472490,1.457916,411361.000000,14332.000000
1414.780805,1.479413,411033.000000,13629.000000
1419.185272,1.503295,409830.000000,12862.000000
1422.483657,1.512330,409401.000000,12584.000000
1425.777786,1.531882,409230.000000,12025.000000
1429.067659,1.545175,409352.000000,11666.000000
1432.353275,1.550079,408571.000000,11513.000000
1435.634635,1.546662,408784.000000,11610.000000
1438.911740,1.550753,408388.000000,11490.000000
1442.184588,1.557117,408718.000000,11332.000000
1445.453180,1.555327,408114.000000,11362.000000
1448.717516,1.553999,407298.000000,11374.000000
1453.063343,1.567815,406083.000000,10985.000000
1456.317748,1.590307,404893.000000,10400.000000
1459.567896,1.558268,403727.000000,11164.000000
1462.813789,1.555893,402460.000000,11190.000000
1466.055425,1.562401,401052.000000,10985.000000
1469.292806,1.543291,399335.000000,11430.000000
1472.525930,1.532486,397326.000000,11659.000000
1475.754798,1.539395,395699.000000,11428.000000
1478.979410,1.537187,393830.000000,11432.000000
1482.199766,1.515132,391553.000000,11958.000000
1485.415866,1.519055,389192.000000,11779.000000
1489.697378,1.507891,386592.000000,12005.000000
1492.903547,1.495549,383773.000000,12261.000000
1496.105460,1.506400,380646.000000,11861.000000
1499.303116,1.486155,377552.000000,12326.000000
1502.496517,1.484276,375404.000000,12309.000000
1505.685661,1.456735,371858.000000,12991.000000
1508.870549,1.452240,368993.000000,13025.000000
1512.051181,1.450952,365725.000000,12948.000000
1515.227557,1.418151,362273.000000,13832.000000
1518.399677,1.421424,358179.000000,13573.000000
1522.622549,1.401458,354157.000000,14052.000000
1525.784738,1.388842,350480.000000,14316.000000
1528.942671,1.380130,346255.000000,14430.000000
1532.096347,1.373082,342381.000000,14502.000000
1535.245768,1.359341,338077.000000,14780.000000
1538.390932,1.341654,334863.000000,15248.000000
1541.531840,1.335380,330125.000000,15251.000000
1544.668493,1.326446,325057.000000,15329.000000
1547.800888,1.317037,320643.000000,15452.000000
1550.929028,1.305145,316424.000000,15672.000000
1555.093261,1.282024,309495.000000,16167.000000
1558.211470,1.281470,305009.000000,15953.000000
1561.325422,1.262577,299676.000000,16371.000000
1564.435119,1.251033,294721.000000,16534.000000
1567.540560,1.246837,289557.000000,16402.000000
1570.641744,1.233684,284567.000000,16615.000000
1573.738672,1.224554,279754.000000,16681.000000
1576.831344,1.215100,274419.000000,16723.000000
1579.919760,1.210643,268872.000000,16554.000000
1583.003920,1.201659,263606.000000,16569.000000
1586.083824,1.195136,257921.000000,16457.000000
1590.183742,1.185445,250804.000000,16364.000000
1593.253714,1.174620,245422.000000,16417.000000
1596.319431,1.177392,239381.000000,15911.000000
1599.380892,1.153908,234206.000000,16432.000000
1602.438096,1.158798,228743.000000,15869.000000
1605.491044,1.158070,223323.000000,15519.000000
1608.539736,1.139498,217518.000000,15776.000000
1611.584172,1.139111,212282.000000,15410.000000
1614.624352,1.132129,206389.000000,15225.000000
1617.660276,1.129237,201087.000000,14933.000000
1621.701554,1.119013,193528.000000,14714.000000
1624.727547,1.106771,188622.000000,14751.000000
1627.749283,1.117224,183537.000000,14012.000000
1630.766764,1.107368,177844.000000,13889.000000
1633.779989,1.090848,171736.000000,13932.000000
1636.788957,1.095591,167154.000000,13413.000000
1639.793669,1.096593,161732.000000,12948.000000
1642.794125,1.087283,155612.000000,12728.000000
1645.790325,1.086351,149386.000000,12245.000000
1648.782269,1.081563,142246.000000,11789.000000
1651.769957,1.072025,133974.000000,11350.000000
1655.746920,1.067323,121380.000000,10395.000000
1658.724676,1.052978,110432.000000,9775.000000
1661.698177,1.046792,99058.000000,8894.000000
1664.667421,1.036335,87253.000000,8025.000000
1667.632410,1.029144,74987.000000,7012.000000
1670.593142,1.009810,63846.000000,6242.000000
1673.549618,1.071125,54103.000000,4593.000000
1676.501838,0.997757,45375.000000,4561.000000
1679.449802,1.009677,38529.000000,3768.000000
1682.393510,1.018059,32827.000000,3149.000000
1686.311833,1.072682,26067.000000,2205.000000
1689.245610,1.017057,22330.000000,2147.000000
1692.175130,1.177402,19574.000000,1301.000000
1695.100395,1.066074,16743.000000,1438.000000
1698.021403,1.114356,14743.000000,1133.000000
1700.938155,1.028417,12694.000000,1189.000000
