Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:45:39,,
Header Version:,1,,
System Temp (C):,30.88,,
Detector Temp (C):,27.89,,
Humidity (%):,43.04,,
Lamp PD:,3757,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.485,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.207434,41838.000000,2595.000000
904.997985,1.180839,48103.000000,3172.000000
908.903577,1.187215,54016.000000,3510.000000
912.804913,1.209180,60169.000000,3717.000000
918.000073,1.240807,70564.000000,4053.000000
921.891478,1.235627,79654.000000,4630.000000
925.778627,1.275003,89700.000000,4762.000000
929.661520,1.329309,100239.000000,4696.000000
933.540156,1.342494,109446.000000,4974.000000
937.414537,1.349490,117708.000000,5264.000000
941.284661,1.325571,124606.000000,5888.000000
945.150529,1.341781,131146.000000,5970.000000
949.012141,1.383296,136760.000000,5658.000000
952.869497,1.355085,141885.000000,6264.000000
958.006018,1.371633,147984.000000,6289.000000
961.853443,1.344605,153029.000000,6921.000000
965.696612,1.364066,157730.000000,6821.000000
969.535525,1.343358,162181.000000,7356.000000
973.370181,1.343338,166803.000000,7566.000000
977.200582,1.345601,171686.000000,7747.000000
981.026726,1.353497,175039.000000,7756.000000
984.848614,1.347584,179017.000000,8041.000000
988.666246,1.339274,182897.000000,8374.000000
992.479622,1.340703,185253.000000,8454.000000
996.288742,1.342635,187818.000000,8533.000000
1001.360948,1.367337,190772.000000,8188.000000
1005.160137,1.327719,192876.000000,9069.000000
1008.955070,1.349868,193747.000000,8657.000000
1012.745747,1.334393,195280.000000,9042.000000
1016.532167,1.323234,196346.000000,9328.000000
1020.314331,1.333615,197194.000000,9147.000000
1024.092240,1.346217,198095.000000,8926.000000
1027.865892,1.334675,198497.000000,9185.000000
1031.635288,1.344202,199321.000000,9023.000000
1035.400428,1.325624,200160.000000,9457.000000
1040.413994,1.334864,199967.000000,9249.000000
1044.169203,1.327869,199836.000000,9393.000000
1047.920156,1.339781,200123.000000,9152.000000
1051.666852,1.332443,199995.000000,9302.000000
1055.409293,1.317767,200001.000000,9622.000000
1059.147477,1.343572,200157.000000,9074.000000
1062.881406,1.358708,200769.000000,8790.000000
1066.611078,1.337199,200632.000000,9230.000000
1070.336494,1.363126,201345.000000,8726.000000
1074.057654,1.372804,201966.000000,8560.000000
1079.012580,1.381404,203069.000000,8438.000000
1082.723809,1.357537,204488.000000,8977.000000
1086.430782,1.377316,205553.000000,8622.000000
1090.133498,1.371255,207289.000000,8817.000000
1093.831959,1.394310,209194.000000,8438.000000
1097.526163,1.401427,210937.000000,8370.000000
1101.216112,1.407323,213258.000000,8348.000000
1104.901804,1.407450,215518.000000,8434.000000
1108.583240,1.409995,217607.000000,8466.000000
1112.260420,1.430843,219948.000000,8156.000000
1115.933344,1.471913,221873.000000,7485.000000
1120.823955,1.488282,225409.000000,7323.000000
1124.486948,1.476282,228069.000000,7617.000000
1128.145685,1.498865,230370.000000,7304.000000
1131.800165,1.527967,232879.000000,6905.000000
1135.450390,1.524297,235735.000000,7049.000000
1139.096358,1.547463,238069.000000,6749.000000
1142.738071,1.554456,241252.000000,6730.000000
1146.375527,1.529390,243862.000000,7207.000000
1150.008727,1.514638,245824.000000,7516.000000
1153.637671,1.560809,249063.000000,6847.000000
1158.469642,1.548680,252780.000000,7146.000000
1162.088655,1.547505,256260.000000,7264.000000
1165.703412,1.542403,259055.000000,7430.000000
1169.313912,1.548154,261978.000000,7415.000000
1172.920157,1.553403,264985.000000,7410.000000
1176.522145,1.565099,269426.000000,7334.000000
1180.119878,1.560276,272409.000000,7498.000000
1183.713354,1.535473,276023.000000,8044.000000
1187.302574,1.564052,280835.000000,7663.000000
1190.887538,1.553086,284660.000000,7966.000000
1194.468246,1.570507,289355.000000,7779.000000
1199.235902,1.555757,294470.000000,8190.000000
1202.806679,1.556201,298982.000000,8307.000000
1206.373200,1.541649,303505.000000,8720.000000
1209.935464,1.579647,307931.000000,8106.000000
1213.493473,1.557111,312016.000000,8651.000000
1217.047225,1.557121,316965.000000,8788.000000
1220.596721,1.538306,321210.000000,9300.000000
1224.141962,1.542449,325858.000000,9345.000000
1227.682946,1.549053,330391.000000,9332.000000
1231.219673,1.531984,334507.000000,9827.000000
1235.928690,1.539725,339691.000000,9803.000000
1239.455487,1.556616,343760.000000,9542.000000
1242.978028,1.548287,347020.000000,9819.000000
1246.496312,1.541757,350545.000000,10069.000000
1250.010341,1.545920,353991.000000,10071.000000
1253.520113,1.546502,356683.000000,10134.000000
1257.025629,1.549030,358341.000000,10122.000000
1260.526889,1.546440,360820.000000,10253.000000
1264.023894,1.560322,364183.000000,10023.000000
1267.516641,1.555444,367840.000000,10238.000000
1272.167018,1.556020,373653.000000,10386.000000
1275.649835,1.546559,377992.000000,10738.000000
1279.128396,1.562301,382454.000000,10478.000000
1282.602700,1.567078,386758.000000,10480.000000
1286.072749,1.548561,391232.000000,11063.000000
1289.538541,1.569736,395482.000000,10651.000000
1293.000078,1.567183,399181.000000,10814.000000
1296.457358,1.562923,402851.000000,11021.000000
1299.910382,1.573547,405972.000000,10838.000000
