Method:,Column 1,,
Host Date-Time:,23/6/21 @ 11:29:41,,
Header Version:,1,,
System Temp (C):,28.92,,
Detector Temp (C):,25.83,,
Humidity (%):,39.16,,
Lamp PD:,3760,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.512,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.065280,41838.000000,35999.000000
904.997985,0.077568,48103.000000,40235.000000
908.903577,0.078529,54016.000000,45081.000000
912.804913,0.083856,60169.000000,49604.000000
918.000073,0.090088,70564.000000,57345.000000
921.891478,0.094390,79654.000000,64094.000000
925.778627,0.100709,89700.000000,71135.000000
929.661520,0.110454,100239.000000,77729.000000
933.540156,0.110425,109446.000000,84874.000000
937.414537,0.115036,117708.000000,90317.000000
941.284661,0.117610,124606.000000,95045.000000
945.150529,0.126893,131146.000000,97918.000000
949.012141,0.132524,136760.000000,100794.000000
952.869497,0.140853,141885.000000,102585.000000
958.006018,0.145348,147984.000000,105893.000000
961.853443,0.151591,153029.000000,107940.000000
965.696612,0.156316,157730.000000,110052.000000
969.535525,0.156845,162181.000000,113020.000000
973.370181,0.160548,166803.000000,115254.000000
977.200582,0.164339,171686.000000,117597.000000
981.026726,0.163534,175039.000000,120116.000000
984.848614,0.166339,179017.000000,122055.000000
988.666246,0.168879,182897.000000,123973.000000
992.479622,0.167408,185253.000000,125996.000000
996.288742,0.168714,187818.000000,127357.000000
1001.360948,0.169434,190772.000000,129146.000000
1005.160137,0.171238,192876.000000,130029.000000
1008.955070,0.169447,193747.000000,131156.000000
1012.745747,0.172638,195280.000000,131226.000000
1016.532167,0.172218,196346.000000,132070.000000
1020.314331,0.171480,197194.000000,132866.000000
1024.092240,0.172816,198095.000000,133063.000000
1027.865892,0.174386,198497.000000,132852.000000
1031.635288,0.175258,199321.000000,133136.000000
1035.400428,0.174921,200160.000000,133800.000000
1040.413994,0.175747,199967.000000,133417.000000
1044.169203,0.176554,199836.000000,133082.000000
1047.920156,0.178456,200123.000000,132691.000000
1051.666852,0.179867,199995.000000,132176.000000
1055.409293,0.181245,200001.000000,131761.000000
1059.147477,0.181380,200157.000000,131823.000000
1062.881406,0.185250,200769.000000,131053.000000
1066.611078,0.184741,200632.000000,131117.000000
1070.336494,0.186928,201345.000000,130922.000000
1074.057654,0.186766,201966.000000,131375.000000
1079.012580,0.191192,203069.000000,130753.000000
1082.723809,0.192092,204488.000000,131394.000000
1086.430782,0.194322,205553.000000,131402.000000
1090.133498,0.197921,207289.000000,131418.000000
1093.831959,0.198376,209194.000000,132487.000000
1097.526163,0.200732,210937.000000,132868.000000
1101.216112,0.205021,213258.000000,133010.000000
1104.901804,0.209374,215518.000000,133079.000000
1108.583240,0.211408,217607.000000,133741.000000
1112.260420,0.213365,219948.000000,134572.000000
1115.933344,0.217305,221873.000000,134524.000000
1120.823955,0.226327,225409.000000,133858.000000
1124.486948,0.232530,228069.000000,133517.000000
1128.145685,0.239552,230370.000000,132701.000000
1131.800165,0.252196,232879.000000,130297.000000
1135.450390,0.264472,235735.000000,128219.000000
1139.096358,0.277582,238069.000000,125638.000000
1142.738071,0.290737,241252.000000,123519.000000
1146.375527,0.301579,243862.000000,121777.000000
