Method:,Column 1,,
Host Date-Time:,23/6/21 @ 12:16:56,,
Header Version:,1,,
System Temp (C):,28.58,,
Detector Temp (C):,26.1,,
Humidity (%):,43.53,,
Lamp PD:,3759,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.462,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.166543,41838.000000,28512.000000
904.997985,0.172029,48103.000000,32370.000000
908.903577,0.187599,54016.000000,35069.000000
912.804913,0.179905,60169.000000,39762.000000
918.000073,0.192773,70564.000000,45270.000000
921.891478,0.197890,79654.000000,50503.000000
925.778627,0.202454,89700.000000,56278.000000
929.661520,0.216712,100239.000000,60859.000000
933.540156,0.218224,109446.000000,66218.000000
937.414537,0.227106,117708.000000,69775.000000
941.284661,0.234914,124606.000000,72548.000000
945.150529,0.247018,131146.000000,74257.000000
949.012141,0.253833,136760.000000,76230.000000
952.869497,0.264747,141885.000000,77124.000000
958.006018,0.277519,147984.000000,78108.000000
961.853443,0.284314,153029.000000,79517.000000
965.696612,0.289102,157730.000000,81061.000000
969.535525,0.292416,162181.000000,82715.000000
973.370181,0.297377,166803.000000,84106.000000
977.200582,0.300646,171686.000000,85919.000000
981.026726,0.298988,175039.000000,87932.000000
984.848614,0.301673,179017.000000,89376.000000
988.666246,0.303514,182897.000000,90927.000000
992.479622,0.301173,185253.000000,92596.000000
996.288742,0.302030,187818.000000,93693.000000
1001.360948,0.301048,190772.000000,95382.000000
1005.160137,0.301896,192876.000000,96246.000000
1008.955070,0.300616,193747.000000,96966.000000
1012.745747,0.301742,195280.000000,97480.000000
1016.532167,0.301792,196346.000000,98001.000000
1020.314331,0.298238,197194.000000,99233.000000
1024.092240,0.298061,198095.000000,99727.000000
1027.865892,0.298332,198497.000000,99867.000000
1031.635288,0.299149,199321.000000,100093.000000
1035.400428,0.298922,200160.000000,100567.000000
1040.413994,0.297127,199967.000000,100886.000000
1044.169203,0.296017,199836.000000,101078.000000
1047.920156,0.296645,200123.000000,101077.000000
1051.666852,0.296706,199995.000000,100998.000000
1055.409293,0.297451,200001.000000,100828.000000
1059.147477,0.298730,200157.000000,100610.000000
1062.881406,0.302388,200769.000000,100071.000000
1066.611078,0.300476,200632.000000,100444.000000
1070.336494,0.303524,201345.000000,100096.000000
1074.057654,0.307067,201966.000000,99589.000000
1079.012580,0.308226,203069.000000,99866.000000
1082.723809,0.311055,204488.000000,99911.000000
1086.430782,0.314098,205553.000000,99730.000000
1090.133498,0.317685,207289.000000,99745.000000
1093.831959,0.320745,209194.000000,99955.000000
1097.526163,0.323649,210937.000000,100116.000000
1101.216112,0.329266,213258.000000,99917.000000
1104.901804,0.333466,215518.000000,100004.000000
1108.583240,0.336519,217607.000000,100266.000000
1112.260420,0.341119,219948.000000,100277.000000
1115.933344,0.344565,221873.000000,100355.000000
1120.823955,0.356722,225409.000000,99140.000000
1124.486948,0.366473,228069.000000,98083.000000
1128.145685,0.379003,230370.000000,96255.000000
1131.800165,0.394280,232879.000000,93940.000000
1135.450390,0.413249,235735.000000,91028.000000
1139.096358,0.429333,238069.000000,88587.000000
1142.738071,0.450231,241252.000000,85554.000000
1146.375527,0.466442,243862.000000,83311.000000
1150.008727,0.480699,245824.000000,81269.000000
1153.637671,0.493491,249063.000000,79950.000000
1158.469642,0.502862,252780.000000,79411.000000
1162.088655,0.511037,256260.000000,79003.000000
1165.703412,0.515545,259055.000000,79040.000000
1169.313912,0.520281,261978.000000,79065.000000
1172.920157,0.526822,264985.000000,78777.000000
1176.522145,0.532659,269426.000000,79028.000000
1180.119878,0.535067,272409.000000,79461.000000
1183.713354,0.537394,276023.000000,80085.000000
1187.302574,0.540406,280835.000000,80918.000000
1190.887538,0.542982,284660.000000,81535.000000
1194.468246,0.545282,289355.000000,82442.000000
1199.235902,0.545579,294470.000000,83842.000000
1202.806679,0.543405,298982.000000,85554.000000
1206.373200,0.543031,303505.000000,86923.000000
1209.935464,0.542660,307931.000000,88266.000000
1213.493473,0.539626,312016.000000,90064.000000
1217.047225,0.540098,316965.000000,91393.000000
1220.596721,0.538825,321210.000000,92889.000000
1224.141962,0.537555,325858.000000,94509.000000
1227.682946,0.535452,330391.000000,96289.000000
1231.219673,0.534902,334507.000000,97612.000000
1235.928690,0.533309,339691.000000,99489.000000
1239.455487,0.530907,343760.000000,101239.000000
1242.978028,0.531380,347020.000000,102088.000000
1246.496312,0.529778,350545.000000,103506.000000
1250.010341,0.530221,353991.000000,104417.000000
1253.520113,0.531888,356683.000000,104808.000000
1257.025629,0.529487,358341.000000,105879.000000
1260.526889,0.531563,360820.000000,106103.000000
1264.023894,0.533444,364183.000000,106629.000000
1267.516641,0.535545,367840.000000,107180.000000
1272.167018,0.538506,373653.000000,108134.000000
1275.649835,0.542529,377992.000000,108381.000000
1279.128396,0.545775,382454.000000,108844.000000
1282.602700,0.548640,386758.000000,109345.000000
1286.072749,0.555750,391232.000000,108814.000000
1289.538541,0.562298,395482.000000,108350.000000
1293.000078,0.567051,399181.000000,108173.000000
1296.457358,0.573465,402851.000000,107567.000000
1299.910382,0.583371,405972.000000,105956.000000
1303.359150,0.591478,409012.000000,104775.000000
1306.803662,0.598985,412072.000000,103750.000000
1311.389723,0.617596,415273.000000,100170.000000
1314.824304,0.629791,418670.000000,98193.000000
1318.254629,0.643164,421073.000000,95762.000000
1321.680698,0.653972,422767.000000,93784.000000
1325.102510,0.670094,424477.000000,90732.000000
1328.520066,0.684908,425846.000000,87972.000000
1331.933367,0.699774,427220.000000,85286.000000
1335.342411,0.714457,428460.000000,82690.000000
1338.747199,0.731603,429602.000000,79701.000000
1342.147731,0.748158,430095.000000,76808.000000
1346.675152,0.764273,430925.000000,74153.000000
1350.065753,0.778539,430662.000000,71713.000000
1353.452098,0.793989,430235.000000,69138.000000
1356.834187,0.806880,429864.000000,67058.000000
1360.212019,0.822873,430326.000000,64703.000000
1363.585596,0.841387,429141.000000,61832.000000
1366.954916,0.862853,428594.000000,58775.000000
1370.319980,0.894647,427739.000000,54517.000000
1373.680788,0.924020,426684.000000,50826.000000
1377.037340,0.958150,424716.000000,46768.000000
1380.389636,1.005766,423009.000000,41743.000000
1384.852743,1.068744,421250.000000,35958.000000
1388.195107,1.122056,419513.000000,31673.000000
1391.533216,1.172454,418386.000000,28127.000000
1394.867069,1.217956,416533.000000,25217.000000
1398.196665,1.269227,415362.000000,22346.000000
1401.522005,1.297917,414359.000000,20867.000000
1404.843090,1.329771,412901.000000,19323.000000
1408.159918,1.350355,412217.000000,18398.000000
1411.472490,1.380314,411361.000000,17136.000000
1414.780805,1.393298,411033.000000,16618.000000
1419.185272,1.412794,409830.000000,15842.000000
1422.483657,1.420446,409401.000000,15549.000000
1425.777786,1.427958,409230.000000,15276.000000
1429.067659,1.434445,409352.000000,15054.000000
1432.353275,1.455840,408571.000000,14303.000000
1435.634635,1.447320,408784.000000,14594.000000
1438.911740,1.454009,408388.000000,14357.000000
1442.184588,1.467473,408718.000000,13930.000000
1445.453180,1.464033,408114.000000,14020.000000
1448.717516,1.466055,407298.000000,13927.000000
1453.063343,1.471356,406083.000000,13717.000000
1456.317748,1.462330,404893.000000,13964.000000
1459.567896,1.468038,403727.000000,13742.000000
1462.813789,1.464278,402460.000000,13818.000000
1466.055425,1.464172,401052.000000,13773.000000
1469.292806,1.463572,399335.000000,13733.000000
1472.525930,1.459583,397326.000000,13790.000000
1475.754798,1.448084,395699.000000,14102.000000
1478.979410,1.455178,393830.000000,13808.000000
1482.199766,1.452094,391553.000000,13826.000000
1485.415866,1.445839,389192.000000,13942.000000
1489.697378,1.427475,386592.000000,14447.000000
1492.903547,1.420525,383773.000000,14573.000000
1496.105460,1.421074,380646.000000,14436.000000
1499.303116,1.416568,377552.000000,14468.000000
1502.496517,1.420136,375404.000000,14268.000000
1505.685661,1.405489,371858.000000,14618.000000
1508.870549,1.402487,368993.000000,14606.000000
1512.051181,1.381683,365725.000000,15187.000000
1515.227557,1.386696,362273.000000,14871.000000
1518.399677,1.376506,358179.000000,15052.000000
1522.622549,1.362324,354157.000000,15377.000000
1525.784738,1.341413,350480.000000,15968.000000
1528.942671,1.342723,346255.000000,15728.000000
1532.096347,1.331803,342381.000000,15948.000000
1535.245768,1.329782,338077.000000,15821.000000
1538.390932,1.321970,334863.000000,15955.000000
1541.531840,1.295546,330125.000000,16716.000000
1544.668493,1.292506,325057.000000,16575.000000
1547.800888,1.285861,320643.000000,16602.000000
1550.929028,1.272588,316424.000000,16892.000000
1555.093261,1.274752,309495.000000,16440.000000
1558.211470,1.271965,305009.000000,16306.000000
1561.325422,1.251860,299676.000000,16780.000000
1564.435119,1.234059,294721.000000,17193.000000
1567.540560,1.241626,289557.000000,16600.000000
1570.641744,1.231962,284567.000000,16681.000000
1573.738672,1.221984,279754.000000,16780.000000
1576.831344,1.211196,274419.000000,16874.000000
1579.919760,1.188847,268872.000000,17406.000000
1583.003920,1.211306,263606.000000,16205.000000
1586.083824,1.202938,257921.000000,16164.000000
1590.183742,1.185418,250804.000000,16365.000000
1593.253714,1.181311,245422.000000,16166.000000
1596.319431,1.170810,239381.000000,16154.000000
1599.380892,1.172593,234206.000000,15740.000000
1602.438096,1.168932,228743.000000,15503.000000
1605.491044,1.162005,223323.000000,15379.000000
1608.539736,1.153571,217518.000000,15273.000000
1611.584172,1.143330,212282.000000,15261.000000
1614.624352,1.140365,206389.000000,14939.000000
1617.660276,1.146230,201087.000000,14360.000000
1621.701554,1.139996,193528.000000,14020.000000
1624.727547,1.134268,188622.000000,13846.000000
1627.749283,1.124790,183537.000000,13770.000000
1630.766764,1.129235,177844.000000,13207.000000
1633.779989,1.125047,171736.000000,12877.000000
1636.788957,1.105051,167154.000000,13124.000000
1639.793669,1.114639,161732.000000,12421.000000
