Method:,Column 1,,
Host Date-Time:,23/6/21 @ 11:28:14,,
Header Version:,1,,
System Temp (C):,28.83,,
Detector Temp (C):,25.93,,
Humidity (%):,39.4,,
Lamp PD:,3760,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.454,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.163674,41838.000000,28701.000000
904.997985,0.174343,48103.000000,32198.000000
908.903577,0.183139,54016.000000,35431.000000
912.804913,0.183018,60169.000000,39478.000000
918.000073,0.193627,70564.000000,45181.000000
921.891478,0.197495,79654.000000,50549.000000
925.778627,0.204868,89700.000000,55966.000000
929.661520,0.217097,100239.000000,60805.000000
933.540156,0.219998,109446.000000,65948.000000
937.414537,0.223388,117708.000000,70375.000000
941.284661,0.234190,124606.000000,72669.000000
945.150529,0.240084,131146.000000,75452.000000
949.012141,0.251407,136760.000000,76657.000000
952.869497,0.259764,141885.000000,78014.000000
958.006018,0.269345,147984.000000,79592.000000
961.853443,0.277631,153029.000000,80750.000000
965.696612,0.281076,157730.000000,82573.000000
969.535525,0.286632,162181.000000,83824.000000
973.370181,0.290583,166803.000000,85432.000000
977.200582,0.293502,171686.000000,87344.000000
981.026726,0.292940,175039.000000,89165.000000
984.848614,0.294311,179017.000000,90904.000000
988.666246,0.298131,182897.000000,92061.000000
992.479622,0.296040,185253.000000,93697.000000
996.288742,0.296521,187818.000000,94889.000000
1001.360948,0.296149,190772.000000,96464.000000
1005.160137,0.294815,192876.000000,97828.000000
1008.955070,0.294995,193747.000000,98229.000000
1012.745747,0.295058,195280.000000,98992.000000
1016.532167,0.294798,196346.000000,99592.000000
1020.314331,0.293593,197194.000000,100300.000000
1024.092240,0.291448,198095.000000,101257.000000
1027.865892,0.292582,198497.000000,101198.000000
1031.635288,0.290412,199321.000000,102127.000000
1035.400428,0.291536,200160.000000,102292.000000
1040.413994,0.287784,199967.000000,103080.000000
1044.169203,0.289878,199836.000000,102517.000000
1047.920156,0.289224,200123.000000,102819.000000
1051.666852,0.288245,199995.000000,102985.000000
1055.409293,0.290139,200001.000000,102540.000000
1059.147477,0.291313,200157.000000,102343.000000
1062.881406,0.292257,200769.000000,102433.000000
1066.611078,0.294350,200632.000000,101871.000000
1070.336494,0.293929,201345.000000,102332.000000
1074.057654,0.297667,201966.000000,101768.000000
1079.012580,0.298605,203069.000000,102103.000000
1082.723809,0.301344,204488.000000,102170.000000
1086.430782,0.302726,205553.000000,102376.000000
1090.133498,0.307406,207289.000000,102134.000000
1093.831959,0.309673,209194.000000,102536.000000
1097.526163,0.312155,210937.000000,102801.000000
1101.216112,0.316119,213258.000000,102988.000000
1104.901804,0.320878,215518.000000,102945.000000
1108.583240,0.323766,217607.000000,103254.000000
1112.260420,0.328964,219948.000000,103123.000000
1115.933344,0.332660,221873.000000,103144.000000
1120.823955,0.343227,225409.000000,102269.000000
1124.486948,0.352448,228069.000000,101302.000000
1128.145685,0.365022,230370.000000,99404.000000
1131.800165,0.380972,232879.000000,96863.000000
1135.450390,0.397139,235735.000000,94468.000000
1139.096358,0.416418,238069.000000,91261.000000
1142.738071,0.434405,241252.000000,88729.000000
1146.375527,0.448519,243862.000000,86821.000000
1150.008727,0.463316,245824.000000,84588.000000
1153.637671,0.475185,249063.000000,83392.000000
1158.469642,0.488548,252780.000000,82072.000000
1162.088655,0.495965,256260.000000,81793.000000
1165.703412,0.502043,259055.000000,81536.000000
1169.313912,0.506069,261978.000000,81695.000000
1172.920157,0.512005,264985.000000,81511.000000
1176.522145,0.517214,269426.000000,81889.000000
1180.119878,0.520852,272409.000000,82105.000000
1183.713354,0.521548,276023.000000,83061.000000
1187.302574,0.528203,280835.000000,83224.000000
1190.887538,0.529288,284660.000000,84147.000000
1194.468246,0.531614,289355.000000,85078.000000
1199.235902,0.528136,294470.000000,87278.000000
1202.806679,0.530206,298982.000000,88194.000000
1206.373200,0.530343,303505.000000,89500.000000
1209.935464,0.526700,307931.000000,91570.000000
1213.493473,0.525125,312016.000000,93122.000000
1217.047225,0.526661,316965.000000,94265.000000
1220.596721,0.523844,321210.000000,96149.000000
1224.141962,0.522317,325858.000000,97884.000000
1227.682946,0.522315,330391.000000,99246.000000
1231.219673,0.519418,334507.000000,101155.000000
1235.928690,0.517278,339691.000000,103230.000000
