Method:,Column 1,,
Host Date-Time:,23/6/21 @ 16:4:40,,
Header Version:,1,,
System Temp (C):,29.64,,
Detector Temp (C):,26.78,,
Humidity (%):,42.81,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.479,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.025942,41838.000000,39412.000000
904.997985,0.038157,48103.000000,44057.000000
908.903577,0.043818,54016.000000,48832.000000
912.804913,0.045630,60169.000000,54168.000000
918.000073,0.053656,70564.000000,62363.000000
921.891478,0.059460,79654.000000,69462.000000
925.778627,0.065451,89700.000000,77151.000000
929.661520,0.073733,100239.000000,84587.000000
933.540156,0.076878,109446.000000,91690.000000
937.414537,0.081080,117708.000000,97662.000000
941.284661,0.084324,124606.000000,102616.000000
945.150529,0.091312,131146.000000,106278.000000
949.012141,0.098417,136760.000000,109029.000000
952.869497,0.105157,141885.000000,111373.000000
958.006018,0.113306,147984.000000,114001.000000
961.853443,0.117863,153029.000000,116657.000000
965.696612,0.120801,157730.000000,119430.000000
969.535525,0.123594,162181.000000,122013.000000
973.370181,0.128191,166803.000000,124169.000000
977.200582,0.129770,171686.000000,127340.000000
981.026726,0.129890,175039.000000,129791.000000
984.848614,0.131085,179017.000000,132376.000000
988.666246,0.134554,182897.000000,134169.000000
992.479622,0.133929,185253.000000,136093.000000
996.288742,0.134642,187818.000000,137751.000000
1001.360948,0.135396,190772.000000,139675.000000
1005.160137,0.135739,192876.000000,141104.000000
1008.955070,0.137502,193747.000000,141167.000000
1012.745747,0.137825,195280.000000,142178.000000
1016.532167,0.135423,196346.000000,143747.000000
1020.314331,0.136570,197194.000000,143987.000000
1024.092240,0.137430,198095.000000,144359.000000
1027.865892,0.138906,198497.000000,144161.000000
1031.635288,0.140615,199321.000000,144191.000000
1035.400428,0.141017,200160.000000,144664.000000
1040.413994,0.141484,199967.000000,144369.000000
1044.169203,0.142085,199836.000000,144075.000000
1047.920156,0.142175,200123.000000,144252.000000
1051.666852,0.143729,199995.000000,143645.000000
1055.409293,0.144535,200001.000000,143383.000000
1059.147477,0.146770,200157.000000,142758.000000
1062.881406,0.148522,200769.000000,142618.000000
1066.611078,0.148549,200632.000000,142512.000000
1070.336494,0.151561,201345.000000,142030.000000
1074.057654,0.152492,201966.000000,142163.000000
1079.012580,0.154668,203069.000000,142225.000000
1082.723809,0.156810,204488.000000,142514.000000
1086.430782,0.159939,205553.000000,142228.000000
1090.133498,0.161022,207289.000000,143072.000000
1093.831959,0.163543,209194.000000,143551.000000
1097.526163,0.168231,210937.000000,143193.000000
1101.216112,0.169832,213258.000000,144236.000000
1104.901804,0.173634,215518.000000,144494.000000
1108.583240,0.174431,217607.000000,145627.000000
1112.260420,0.177931,219948.000000,146012.000000
1115.933344,0.183045,221873.000000,145566.000000
1120.823955,0.189118,225409.000000,145832.000000
1124.486948,0.195828,228069.000000,145291.000000
1128.145685,0.204211,230370.000000,143951.000000
1131.800165,0.214332,232879.000000,142167.000000
1135.450390,0.229516,235735.000000,138966.000000
1139.096358,0.241055,238069.000000,136662.000000
1142.738071,0.255729,241252.000000,133888.000000
1146.375527,0.266988,243862.000000,131873.000000
1150.008727,0.277972,245824.000000,129614.000000
1153.637671,0.286667,249063.000000,128719.000000
1158.469642,0.295580,252780.000000,127986.000000
1162.088655,0.301325,256260.000000,128043.000000
1165.703412,0.305653,259055.000000,128156.000000
1169.313912,0.307675,261978.000000,129000.000000
1172.920157,0.312510,264985.000000,129036.000000
1176.522145,0.315555,269426.000000,130282.000000
1180.119878,0.318023,272409.000000,130978.000000
1183.713354,0.319596,276023.000000,132236.000000
1187.302574,0.324241,280835.000000,133110.000000
1190.887538,0.326516,284660.000000,134218.000000
1194.468246,0.329197,289355.000000,135592.000000
1199.235902,0.329537,294470.000000,137881.000000
1202.806679,0.329821,298982.000000,139902.000000
1206.373200,0.330306,303505.000000,141860.000000
1209.935464,0.329696,307931.000000,144131.000000
1213.493473,0.327705,312016.000000,146714.000000
1217.047225,0.325247,316965.000000,149887.000000
1220.596721,0.323770,321210.000000,152412.000000
1224.141962,0.320846,325858.000000,155662.000000
1227.682946,0.319196,330391.000000,158428.000000
1231.219673,0.316445,334507.000000,161421.000000
1235.928690,0.314847,339691.000000,164527.000000
1239.455487,0.312996,343760.000000,167209.000000
1242.978028,0.311682,347020.000000,169306.000000
1246.496312,0.310409,350545.000000,171528.000000
1250.010341,0.310828,353991.000000,173047.000000
1253.520113,0.310465,356683.000000,174509.000000
1257.025629,0.311030,358341.000000,175092.000000
1260.526889,0.312057,360820.000000,175887.000000
1264.023894,0.312403,364183.000000,177385.000000
1267.516641,0.314208,367840.000000,178423.000000
1272.167018,0.316519,373653.000000,180281.000000
1275.649835,0.318204,377992.000000,181668.000000
1279.128396,0.320910,382454.000000,182671.000000
1282.602700,0.324526,386758.000000,183195.000000
1286.072749,0.328202,391232.000000,183752.000000
1289.538541,0.331651,395482.000000,184279.000000
1293.000078,0.337316,399181.000000,183592.000000
1296.457358,0.343106,402851.000000,182826.000000
1299.910382,0.348389,405972.000000,182015.000000
1303.359150,0.353971,409012.000000,181036.000000
1306.803662,0.362695,412072.000000,178763.000000
1311.389723,0.373285,415273.000000,175812.000000
1314.824304,0.382075,418670.000000,173699.000000
1318.254629,0.392658,421073.000000,170490.000000
1321.680698,0.400732,422767.000000,168023.000000
1325.102510,0.412613,424477.000000,164150.000000
1328.520066,0.423475,425846.000000,160612.000000
1331.933367,0.435383,427220.000000,156772.000000
1335.342411,0.446419,428460.000000,153282.000000
1338.747199,0.457554,429602.000000,149800.000000
1342.147731,0.468519,430095.000000,146233.000000
1346.675152,0.481887,430925.000000,142074.000000
1350.065753,0.492612,430662.000000,138524.000000
1353.452098,0.504319,430235.000000,134706.000000
1356.834187,0.516242,429864.000000,130945.000000
1360.212019,0.530442,430326.000000,126869.000000
1363.585596,0.545454,429141.000000,122221.000000
1366.954916,0.563359,428594.000000,117135.000000
1370.319980,0.585234,427739.000000,111159.000000
1373.680788,0.613650,426684.000000,103862.000000
1377.037340,0.646294,424716.000000,95897.000000
1380.389636,0.681201,423009.000000,88135.000000
1384.852743,0.737131,421250.000000,77163.000000
1388.195107,0.785353,419513.000000,68769.000000
1391.533216,0.829515,418386.000000,61953.000000
1394.867069,0.876830,416533.000000,55312.000000
1398.196665,0.912683,415362.000000,50786.000000
1401.522005,0.952603,414359.000000,46214.000000
1404.843090,0.980986,412901.000000,43138.000000
1408.159918,1.004200,412217.000000,40825.000000
1411.472490,1.026512,411361.000000,38700.000000
1414.780805,1.044257,411033.000000,37121.000000
1419.185272,1.058539,409830.000000,35815.000000
1422.483657,1.065310,409401.000000,35224.000000
1425.777786,1.070401,409230.000000,34799.000000
1429.067659,1.077512,409352.000000,34244.000000
1432.353275,1.088432,408571.000000,33330.000000
1435.634635,1.090827,408784.000000,33164.000000
1438.911740,1.102678,408388.000000,32240.000000
1442.184588,1.096133,408718.000000,32756.000000
1445.453180,1.100116,408114.000000,32409.000000
1448.717516,1.098979,407298.000000,32429.000000
1453.063343,1.096798,406083.000000,32495.000000
1456.317748,1.097909,404893.000000,32317.000000
1459.567896,1.096026,403727.000000,32364.000000
1462.813789,1.100946,402460.000000,31899.000000
1466.055425,1.088440,401052.000000,32716.000000
1469.292806,1.084762,399335.000000,32853.000000
1472.525930,1.074128,397326.000000,33498.000000
1475.754798,1.072657,395699.000000,33474.000000
1478.979410,1.062631,393830.000000,34094.000000
1482.199766,1.053815,391553.000000,34592.000000
1485.415866,1.050147,389192.000000,34675.000000
1489.697378,1.034062,386592.000000,35743.000000
1492.903547,1.028327,383773.000000,35954.000000
1496.105460,1.016732,380646.000000,36626.000000
1499.303116,1.004640,377552.000000,37354.000000
1502.496517,0.999288,375404.000000,37602.000000
1505.685661,0.985695,371858.000000,38431.000000
1508.870549,0.980465,368993.000000,38597.000000
1512.051181,0.970711,365725.000000,39124.000000
1515.227557,0.959568,362273.000000,39762.000000
1518.399677,0.942972,358179.000000,40844.000000
1522.622549,0.937218,354157.000000,40924.000000
1525.784738,0.922947,350480.000000,41852.000000
1528.942671,0.916395,346255.000000,41976.000000
1532.096347,0.904458,342381.000000,42663.000000
1535.245768,0.897176,338077.000000,42839.000000
1538.390932,0.882244,334863.000000,43916.000000
1541.531840,0.877710,330125.000000,43749.000000
1544.668493,0.865203,325057.000000,44336.000000
1547.800888,0.862974,320643.000000,43959.000000
1550.929028,0.849874,316424.000000,44709.000000
1555.093261,0.844191,309495.000000,44306.000000
1558.211470,0.832105,305009.000000,44896.000000
1561.325422,0.823546,299676.000000,44989.000000
1564.435119,0.816334,294721.000000,44986.000000
1567.540560,0.810175,289557.000000,44829.000000
1570.641744,0.801812,284567.000000,44913.000000
1573.738672,0.798543,279754.000000,44487.000000
