Method:,Column 1,,
Host Date-Time:,23/6/21 @ 8:15:36,,
Header Version:,1,,
System Temp (C):,26.36,,
Detector Temp (C):,23.68,,
Humidity (%):,49.43,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.467,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.167382,41838.000000,28457.000000
904.997985,0.172217,48103.000000,32356.000000
908.903577,0.180633,54016.000000,35636.000000
912.804913,0.183623,60169.000000,39423.000000
918.000073,0.191776,70564.000000,45374.000000
921.891478,0.196877,79654.000000,50621.000000
925.778627,0.201852,89700.000000,56356.000000
929.661520,0.212402,100239.000000,61466.000000
933.540156,0.217516,109446.000000,66326.000000
937.414537,0.224896,117708.000000,70131.000000
941.284661,0.234142,124606.000000,72677.000000
945.150529,0.244179,131146.000000,74744.000000
949.012141,0.255672,136760.000000,75908.000000
952.869497,0.265959,141885.000000,76909.000000
958.006018,0.275854,147984.000000,78408.000000
961.853443,0.287603,153029.000000,78917.000000
965.696612,0.290944,157730.000000,80718.000000
969.535525,0.293362,162181.000000,82535.000000
973.370181,0.297016,166803.000000,84176.000000
977.200582,0.301714,171686.000000,85708.000000
981.026726,0.300581,175039.000000,87610.000000
984.848614,0.303299,179017.000000,89042.000000
988.666246,0.303581,182897.000000,90913.000000
992.479622,0.302427,185253.000000,92329.000000
996.288742,0.301761,187818.000000,93751.000000
1001.360948,0.300798,190772.000000,95437.000000
1005.160137,0.301368,192876.000000,96363.000000
1008.955070,0.299846,193747.000000,97138.000000
1012.745747,0.299911,195280.000000,97892.000000
1016.532167,0.299542,196346.000000,98510.000000
1020.314331,0.297874,197194.000000,99316.000000
1024.092240,0.298213,198095.000000,99692.000000
1027.865892,0.297702,198497.000000,100012.000000
1031.635288,0.298157,199321.000000,100322.000000
1035.400428,0.298012,200160.000000,100778.000000
