Method:,Column 1,,
Host Date-Time:,23/6/21 @ 13:30:18,,
Header Version:,1,,
System Temp (C):,29.21,,
Detector Temp (C):,26.34,,
Humidity (%):,44.24,,
Lamp PD:,3758,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.493,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,0.066900,41838.000000,35865.000000
904.997985,0.073400,48103.000000,40623.000000
908.903577,0.079899,54016.000000,44939.000000
912.804913,0.087478,60169.000000,49192.000000
918.000073,0.093440,70564.000000,56904.000000
921.891478,0.097020,79654.000000,63707.000000
925.778627,0.104911,89700.000000,70450.000000
929.661520,0.110867,100239.000000,77655.000000
933.540156,0.115283,109446.000000,83930.000000
937.414537,0.118183,117708.000000,89665.000000
941.284661,0.120710,124606.000000,94369.000000
945.150529,0.129321,131146.000000,97372.000000
949.012141,0.136563,136760.000000,99861.000000
952.869497,0.143417,141885.000000,101981.000000
958.006018,0.149733,147984.000000,104829.000000
961.853443,0.154996,153029.000000,107097.000000
965.696612,0.157708,157730.000000,109700.000000
969.535525,0.161465,162181.000000,111824.000000
973.370181,0.163820,166803.000000,114389.000000
977.200582,0.166724,171686.000000,116953.000000
981.026726,0.167085,175039.000000,119138.000000
984.848614,0.168991,179017.000000,121312.000000
988.666246,0.169626,182897.000000,123760.000000
992.479622,0.170685,185253.000000,125049.000000
996.288742,0.172121,187818.000000,126362.000000
1001.360948,0.173376,190772.000000,127979.000000
1005.160137,0.175066,192876.000000,128888.000000
1008.955070,0.172651,193747.000000,130192.000000
1012.745747,0.174721,195280.000000,130598.000000
1016.532167,0.175588,196346.000000,131049.000000
1020.314331,0.175499,197194.000000,131642.000000
1024.092240,0.177476,198095.000000,131643.000000
1027.865892,0.176739,198497.000000,132134.000000
1031.635288,0.178230,199321.000000,132228.000000
1035.400428,0.179877,200160.000000,132282.000000
1040.413994,0.179221,199967.000000,132354.000000
1044.169203,0.179843,199836.000000,132078.000000
1047.920156,0.180480,200123.000000,132074.000000
1051.666852,0.182473,199995.000000,131385.000000
1055.409293,0.182519,200001.000000,131375.000000
1059.147477,0.184959,200157.000000,130741.000000
1062.881406,0.186850,200769.000000,130571.000000
1066.611078,0.188033,200632.000000,130127.000000
1070.336494,0.189256,201345.000000,130222.000000
1074.057654,0.191733,201966.000000,129881.000000
1079.012580,0.191381,203069.000000,130696.000000
1082.723809,0.194485,204488.000000,130672.000000
1086.430782,0.196987,205553.000000,130598.000000
1090.133498,0.200208,207289.000000,130728.000000
1093.831959,0.201835,209194.000000,131436.000000
1097.526163,0.204771,210937.000000,131638.000000
1101.216112,0.207625,213258.000000,132215.000000
1104.901804,0.209655,215518.000000,132993.000000
1108.583240,0.212960,217607.000000,133264.000000
1112.260420,0.216605,219948.000000,133572.000000
1115.933344,0.219369,221873.000000,133886.000000
1120.823955,0.226320,225409.000000,133860.000000
1124.486948,0.234153,228069.000000,133019.000000
1128.145685,0.242392,230370.000000,131836.000000
1131.800165,0.251756,232879.000000,130429.000000
1135.450390,0.264685,235735.000000,128156.000000
1139.096358,0.275950,238069.000000,126111.000000
1142.738071,0.292393,241252.000000,123049.000000
1146.375527,0.303677,243862.000000,121190.000000
1150.008727,0.311566,245824.000000,119966.000000
1153.637671,0.323163,249063.000000,118344.000000
1158.469642,0.330228,252780.000000,118172.000000
1162.088655,0.336516,256260.000000,118077.000000
1165.703412,0.340675,259055.000000,118227.000000
1169.313912,0.343017,261978.000000,118918.000000
1172.920157,0.348043,264985.000000,118899.000000
1176.522145,0.352872,269426.000000,119555.000000
1180.119878,0.355057,272409.000000,120272.000000
1183.713354,0.357894,276023.000000,121074.000000
1187.302574,0.362077,280835.000000,122004.000000
1190.887538,0.363303,284660.000000,123317.000000
1194.468246,0.367079,289355.000000,124266.000000
