Method:,Column 1,,
Host Date-Time:,24/6/21 @ 9:4:29,,
Header Version:,1,,
System Temp (C):,30.31,,
Detector Temp (C):,27.39,,
Humidity (%):,42.6,,
Lamp PD:,3758,,
Shift Vector Coefficients:,-9.227,0.0649514,-0.00011044,,
Pixel to Wavelength Coefficients:,1810.91,-0.916448,-0.000236451,,
Serial Number:,5360041,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.491,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.088137,1.191173,41838.000000,2694.000000
904.997985,1.150566,48103.000000,3401.000000
908.903577,1.207478,54016.000000,3350.000000
912.804913,1.202341,60169.000000,3776.000000
918.000073,1.146239,70564.000000,5039.000000
921.891478,1.174643,79654.000000,5328.000000
925.778627,1.201590,89700.000000,5639.000000
929.661520,1.229670,100239.000000,5907.000000
933.540156,1.216901,109446.000000,6642.000000
937.414537,1.287188,117708.000000,6076.000000
941.284661,1.255182,124606.000000,6924.000000
945.150529,1.282826,131146.000000,6838.000000
949.012141,1.310858,136760.000000,6685.000000
952.869497,1.299395,141885.000000,7121.000000
958.006018,1.288260,147984.000000,7620.000000
961.853443,1.308498,153029.000000,7521.000000
965.696612,1.278209,157730.000000,8312.000000
969.535525,1.292075,162181.000000,8278.000000
973.370181,1.292427,166803.000000,8507.000000
977.200582,1.309939,171686.000000,8410.000000
981.026726,1.290924,175039.000000,8958.000000
984.848614,1.275674,179017.000000,9489.000000
988.666246,1.280252,182897.000000,9593.000000
992.479622,1.300592,185253.000000,9272.000000
996.288742,1.285848,187818.000000,9725.000000
1001.360948,1.281428,190772.000000,9979.000000
1005.160137,1.256260,192876.000000,10691.000000
1008.955070,1.275115,193747.000000,10283.000000
1012.745747,1.260544,195280.000000,10718.000000
1016.532167,1.258073,196346.000000,10838.000000
1020.314331,1.256830,197194.000000,10916.000000
1024.092240,1.270299,198095.000000,10631.000000
1027.865892,1.244791,198497.000000,11297.000000
1031.635288,1.255170,199321.000000,11076.000000
1035.400428,1.249608,200160.000000,11266.000000
1040.413994,1.249767,199967.000000,11251.000000
1044.169203,1.250681,199836.000000,11220.000000
1047.920156,1.255818,200123.000000,11104.000000
1051.666852,1.245030,199995.000000,11376.000000
1055.409293,1.238902,200001.000000,11538.000000
1059.147477,1.247716,200157.000000,11315.000000
1062.881406,1.241018,200769.000000,11526.000000
1066.611078,1.262629,200632.000000,10959.000000
1070.336494,1.261208,201345.000000,11034.000000
1074.057654,1.249251,201966.000000,11377.000000
1079.012580,1.265462,203069.000000,11020.000000
1082.723809,1.277687,204488.000000,10789.000000
1086.430782,1.284719,205553.000000,10671.000000
1090.133498,1.300253,207289.000000,10383.000000
1093.831959,1.282486,209194.000000,10916.000000
1097.526163,1.302922,210937.000000,10501.000000
1101.216112,1.312290,213258.000000,10390.000000
1104.901804,1.341770,215518.000000,9811.000000
1108.583240,1.350722,217607.000000,9704.000000
1112.260420,1.365557,219948.000000,9479.000000
1115.933344,1.384256,221873.000000,9159.000000
1120.823955,1.414351,225409.000000,8682.000000
1124.486948,1.422609,228069.000000,8619.000000
1128.145685,1.451802,230370.000000,8140.000000
1131.800165,1.471763,232879.000000,7859.000000
1135.450390,1.457447,235735.000000,8222.000000
1139.096358,1.466399,238069.000000,8134.000000
1142.738071,1.507699,241252.000000,7495.000000
1146.375527,1.511215,243862.000000,7515.000000
1150.008727,1.509411,245824.000000,7607.000000
1153.637671,1.515096,249063.000000,7607.000000
1158.469642,1.500250,252780.000000,7989.000000
1162.088655,1.504561,256260.000000,8019.000000
1165.703412,1.490096,259055.000000,8381.000000
1169.313912,1.516970,261978.000000,7967.000000
1172.920157,1.507505,264985.000000,8236.000000
1176.522145,1.507092,269426.000000,8382.000000
1180.119878,1.509703,272409.000000,8424.000000
1183.713354,1.511424,276023.000000,8502.000000
1187.302574,1.523914,280835.000000,8405.000000
1190.887538,1.530875,284660.000000,8384.000000
1194.468246,1.527387,289355.000000,8591.000000
1199.235902,1.513979,294470.000000,9017.000000
1202.806679,1.522465,298982.000000,8978.000000
1206.373200,1.510009,303505.000000,9379.000000
1209.935464,1.512333,307931.000000,9465.000000
1213.493473,1.497009,312016.000000,9935.000000
1217.047225,1.520009,316965.000000,9572.000000
1220.596721,1.493236,321210.000000,10317.000000
1224.141962,1.506263,325858.000000,10157.000000
1227.682946,1.515611,330391.000000,10079.000000
1231.219673,1.499837,334507.000000,10582.000000
1235.928690,1.498465,339691.000000,10780.000000
1239.455487,1.490541,343760.000000,11110.000000
1242.978028,1.478864,347020.000000,11521.000000
1246.496312,1.502129,350545.000000,11031.000000
1250.010341,1.510491,353991.000000,10927.000000
1253.520113,1.493894,356683.000000,11439.000000
1257.025629,1.497430,358341.000000,11399.000000
1260.526889,1.501225,360820.000000,11378.000000
1264.023894,1.487125,364183.000000,11863.000000
1267.516641,1.495954,367840.000000,11741.000000
1272.167018,1.488894,373653.000000,12122.000000
1275.649835,1.499969,377992.000000,11954.000000
1279.128396,1.489228,382454.000000,12398.000000
1282.602700,1.496758,386758.000000,12322.000000
1286.072749,1.506930,391232.000000,12176.000000
1289.538541,1.515204,395482.000000,12076.000000
1293.000078,1.523802,399181.000000,11950.000000
1296.457358,1.520568,402851.000000,12150.000000
1299.910382,1.521247,405972.000000,12225.000000
1303.359150,1.535533,409012.000000,11918.000000
1306.803662,1.533050,412072.000000,12076.000000
1311.389723,1.530907,415273.000000,12230.000000
1314.824304,1.547311,418670.000000,11873.000000
1318.254629,1.536115,421073.000000,12253.000000
1321.680698,1.563707,422767.000000,11545.000000
1325.102510,1.560411,424477.000000,11680.000000
1328.520066,1.566821,425846.000000,11546.000000
1331.933367,1.564214,427220.000000,11653.000000
1335.342411,1.560618,428460.000000,11784.000000
1338.747199,1.559091,429602.000000,11857.000000
1342.147731,1.574342,430095.000000,11461.000000
1346.675152,1.563441,430925.000000,11775.000000
1350.065753,1.575976,430662.000000,11433.000000
1353.452098,1.572857,430235.000000,11504.000000
1356.834187,1.584229,429864.000000,11197.000000
1360.212019,1.570239,430326.000000,11576.000000
1363.585596,1.579598,429141.000000,11298.000000
1366.954916,1.575103,428594.000000,11401.000000
